57.0	1185	685	1685
57.0	363	354	376
56.5	307	305	308
56.5	314	312	316
56.5	312	309	314
56.5	2041	1441	2641
56.4	317	315	318
56.3	309	307	311
56.2	306	304	308
56.0	200	0	350
56.0	500	300	700
56.0	600	550	740
56.0	299	297	301
55.9	390	380	406
55.9	300	297	302
55.9	1448	948	1948
55.9	298	296	300
55.9	303	302	304
55.8	939	593	2977
55.8	826	661	1000
55.7	373	368	381
55.7	1217	727	1717
55.5	200	0	350
55.5	500	300	700
55.5	500	450	550
55.4	1152	652	1652
55.4	360	353	369
54.5	345	339	352
54.1	577	177	977
54.1	323	321	326
54.1	370	350	390
54.0	342	339	346
53.4	2034	1434	2634
53.2	506	319	1604
53.0	300	0	1000
52.2	1285	909	3629
52.2	349	337	361
52.0	2700	2100	3300
