  0.00   1.0000   1.0000   0.9957   1.0000   1.0000   1.0000   1.0000  22.0000   0.0000   1.0000
 10.00   1.0000   1.0200   0.9289   1.0000   0.9800   0.9833   1.7000  25.0000   0.0000   1.0000
 20.00   0.9900   1.0400   0.8319   1.0000   0.9800   0.9667   2.0000  27.0000   0.0000   1.0000
 30.00   1.2900   1.0600   0.7628   1.0000   1.0400   0.9500   2.2000  29.0000   0.1000   1.0000
 40.00   1.0010   1.0800   0.7450   1.0000   1.2200   0.9333   2.2000  29.0000   0.1000   0.9100
 50.00   1.0120   1.1000   0.7952   1.0000   1.4600   0.9167   2.2000  30.0000   0.1000   0.9200
 60.00   1.1844   1.1500   0.7780   1.0000   1.3500   0.9000   2.3000  29.0000  -0.8000   0.9400
 70.00   0.7656   1.2000   0.7707   1.0000   1.3500   0.8833   2.4000  28.0000  -1.4000   0.8700
 80.00   0.6952   1.1900   0.7156   1.0000   1.3300   0.8667   2.4000  29.0000  -1.2000   0.7900
 90.00   0.7128   1.1900   0.7084   0.9750   1.3700   0.8500   2.5000  29.0000  -1.1000   0.8100
100.00   0.8528   1.1800   0.7473   0.9500   1.6500   0.8333   2.6000  28.0000  -0.9000   0.8200
110.00   0.8840   1.1800   0.7402   0.9250   1.7400   0.8167   2.7000  29.0000  -0.7000   0.8500
120.00   0.9152   1.1800   0.6941   0.9000   1.6300   0.8000   2.5000  30.0000  -0.5000   0.8800
130.00   0.8944   1.1700   0.6840   0.8750   1.5200   0.7833   2.0000  29.0000  -0.4000   0.8600
140.00   0.8736   1.1500   0.5302   0.8750   0.9800   0.7667   1.2000  29.0000   0.0000   0.8400
150.00   1.0292   1.1300   0.4967   0.8750   1.0200   0.7500   1.7000  29.0000   0.4000   0.8300
160.00   1.0625   1.1200   0.5247   0.8750   1.2700   0.7500   1.5400  30.0000   0.7000   0.8500
170.00   1.0875   1.1000   0.5333   0.8750   1.2100   0.7500   1.3800  32.0000   1.0000   0.8700
180.00   1.1125   1.0500   0.6520   0.8750   1.1400   0.7500   1.2200  32.0000   1.3000   0.8900
190.00   1.2376   1.0300   0.6630   0.8750   1.0900   0.7500   1.0600  31.0000   1.6000   0.9100
200.00   1.2376   1.0200   0.6411   0.8750   1.1100   0.7500   0.9000  31.0000   1.8000   0.9100
210.00   1.1070   1.0100   0.7181   0.8750   1.1400   0.7500   0.7600  31.0000   1.8000   0.9000
220.00   1.1070   0.9800   0.6685   0.8750   1.1200   0.7500   1.0000  31.0000   1.7000   0.9000
