 33.0     626     553     712
    33.2     789     685     910
    33.3    1108     958    1286
    33.5    1161     998    1359
    33.6     764     672     879
    34.0     960     828    1128
    34.2    1075     921    1269
    34.4    1048     830    1350
    34.6     877     689    1141
     5.2     328     311     345
     5.2     304     289     320
     5.3     229     217     243
     7.4     304     288     320
     7.8     201     190     212
     8.2     206     195     216
     8.6     237     221     252
     9.0     228     212     244
     9.4     224     207     242
     9.9     233      21     253
    12.1     344     327     363
    13.2     385     368     403
    15.1     433     415     453
    16.1     389     373     406
    17.2     390     373     408
    18.1     408     390     427
    19.1     368     352     385
      60     683     482     882
      72     729     514     964
      99     903     578    1256
     103    1240     191    1733
     103    1208     558    1738
     103     940     624    1320
     109     635     427     870
     121    1177     700    1733
     141    1074     783    1400
     160     733     541     931
     170     756     490    1010
     188    1063     810    1326
     202     423     293     552
       3     468     200     800
       4      80       0.1     267
       5     324     164     484
       6     292     132     452
       7     148       0.1     388
       8     133       0.1     267
       9     204      44     364
      10     448     288     608
      10     468     308     628
    12.8     433     305     561
      13     296     176     416
      13     176      56     296
    13.1     519     262     776
    13.8     310     233     387
      14     133       0.1     267
      14       0.1       0.1     100
    14.4     203     133     273
    14.7     116      79     153
    15.1     291     209     373
    15.6     852     766     938
    16.0     579     489     669
    16.1     487     390     584
      21     312     152     472
      25     588     308     880
      45     780     640     880
      53      80       0.1     267
      53     814     574    1054
      54     231      71     391
      55     461     261     661
      56     328     200     460
      56     100      60     140
      56     487     291     687
      56     579     379     779
      56     428     200     680
      56     100      60     140
      57     816     576    1056
      57     474     274     674
      64     178     148     208
      64     163     136     190
      64     400     320     480
      64      88      73     103
      65     111      93     130
      65     340     280     400
      65     178     148     207
      65      54      45      63
      65       0.1       0.1     210
      65     183     153     214
      65     277     231     324
      65      90      75     105
      66     300     240     360
      66       0.1       0.1       100
      66      42      35      50
      66      15      12      17
      66     263     219     307
      66     453     377     528
      66     426     355     497
      66     265     221     310
      66     219     183     256
      66     328     208     448
      66     560     440     680
      66     128     107     150
      67     172      52     292
      67     252     132     372
      67     300     240     360
      68      10       9      12
      68     171     142     199
      68     110      91     128
      68     158     132     185
      68      60       0.1     260
      68     740     555     925
      68     138     115     161
      68     202     169     236
      68     145     121     169
      69     345     287     402
      69     204     170     238
      69     309     258     361
      69     375     313     438
      69     329     274     383
      69     122     101     142
      69      38      32      45
      69     126     105     147
      70     254     212     297
      70     289     241     337
      71     294     245     343
      75    1180     936    1416
      77     480     360     600
      80     504     264     744
     106     600     400     800
     112     653     453     853
     115     904     540    1320
     115    1084     540    1320
     115    1076     540    1320
     120     592     480     720
     129     112      49     179
     133    1150    1100    1200
     143     560     427     693
     153    1272     912    1392
     173    1113     838    1388
     174     768     528    1008
     191    1824    1584    2064
     198    1204    1040    1420
     198     992     596    1388
     200    1171     921    1421
     200     961     711    1211
     200     341      91     591
     201     773     523    1023
     201    1267    1017    1517
     201     614     364     864
     202    1214     964    1464
     202    1619    1369    1869
     202     843     593    1093
     202     880     630    1130
     203    1783    1449    2116
     203    1202     952    1452
     203    1967    1633    2300
     203    1557    1223    1890
     203     623     373     873
     203     513     263     763
     203     661     411     911
     203    1030     697    1363
     203     863     529    1196
     203    1085     751    1418
     203    1191     858    1525
     204    1702    1369    2035
     204    1777    1443    2110
     204     560     310     810
     204    1367    1034    1701
     204    1295     962    1629
     204    1516    1183    1849
     204    1678    1345    2011
     204    1191     858    1525
     204    1349    1015    1682
     204     377     127     627
     204    1443    1109    1776
     204     269      19     519
     204     344      94     594
     204    1596    1263    1929
     204    1702    1369    2035
     205    1667    1333    2000
     205     372     122     622
     206      45       0.1     295
     206      13       0.1     263
     206     643     310     977
     207     544     211     877
     207     111       0.1     361
     208    1264     720    2160
     208     667     533     800
     216     660     360    1380
     216     732     360    1380
     216     900     540    1260
     216     800     640     960
     217     880     660    1100
     218     695     521     869
     222    1140     360    1380
     222     585     440     730
     223     116      87     145
     237     605     455     755
     239     580     435     725
     240     300     225     375
     241     284     160     400
     241     244     120     360
     260     400     240     600
     270     133      80     267
     274    1268     809    1728
     277    1280     779    1782
     278     922     580    1265
     279    1128     697    1559
     279    1038     620    1456
     280     845     493    1197
     280     812     472    1153
     280     812     472    1153
     281     794     477    1112
     282    1449     899    1999
     282    1030     676    1396
     282     429     269     588
     283     133      80     267
     283     188      25     351
     284     187      11     362
     284     620     102     770
     285     432     101     567
     285      70      60      80
     285    1700     530    2497
     285     453     141     666
     285     358     270     445
     285     486     151     713
     285     632     246    1017
     290     219       0.1     493
     292      53       0.1     285
     294       0.1       0.1     300
     295      51       0.1     227
     296      68       0.1     320
     298     288       0.1     878
     299     515       0.1     996
     300     399      88     650
     300     697     185    1102
     300     882     282    1347
     303     250     180     320
     303     588     340     820
     303     608     360     840
     322     290     240     400
     322     210     180     240
     322     320     240     400
     336     190     180     200
     343     824     600    1020
     343     524     276     756
     365     395     280     510
     367     600     380     820
     368    1140     840    1440
     370    1260     960    1560
     380    1120     920    1280
     389    1560    1160    2080
     391     624     384     864
     402    1320     960    1680
     417    1440    1080    1800
     419    1680    1280    2080
       1     430     360     510
