1.07,1,1,1,0.9957,1,1,22.3
1.14,1,1.002,0.998,0.98902,1,0.99833,22.6
1.21,1,1.004,0.996,0.98234,1,0.99666,22.9
1.28,1,1.006,0.994,0.97566,1,0.99499,23.2
1.35,1,1.008,0.992,0.96898,1,0.99332,23.5
1.42,1,1.01,0.99,0.9623,1,0.99165,23.8
1.49,1,1.012,0.988,0.95562,1,0.98998,24.1
1.56,1,1.014,0.986,0.94894,1,0.98831,24.4
1.63,1,1.016,0.984,0.94226,1,0.98664,24.7
1.7,1,1.018,0.982,0.93558,1,0.98497,25
1.73,1,1.02,0.98,0.9289,1,0.9833,25.2
1.76,0.999,1.022,0.98,0.9192,1,0.98164,25.4
1.79,0.998,1.024,0.98,0.9095,1,0.97998,25.6
1.82,0.997,1.026,0.98,0.8998,1,0.97832,25.8
1.85,0.996,1.028,0.98,0.8901,1,0.97666,26
1.88,0.995,1.03,0.98,0.8804,1,0.975,26.2
1.91,0.994,1.032,0.98,0.8707,1,0.97334,26.4
1.94,0.993,1.034,0.98,0.861,1,0.97168,26.6
1.97,0.992,1.036,0.98,0.8513,1,0.97002,26.8
2,0.991,1.038,0.98,0.8416,1,0.96836,27
2.02,0.99,1.04,0.98,0.8319,1,0.9667,27.2
2.04,1.02,1.042,0.986,0.82499,1,0.96503,27.4
2.06,1.05,1.044,0.992,0.81808,1,0.96336,27.6
2.08,1.08,1.046,0.998,0.81117,1,0.96169,27.8
2.1,1.11,1.048,1.004,0.80426,1,0.96002,28
2.12,1.14,1.05,1.01,0.79735,1,0.95835,28.2
2.14,1.17,1.052,1.016,0.79044,1,0.95668,28.4
2.16,1.2,1.054,1.022,0.78353,1,0.95501,28.6
2.18,1.23,1.056,1.028,0.77662,1,0.95334,28.8
2.2,1.26,1.058,1.034,0.76971,1,0.95167,29
2.2,1.29,1.06,1.04,0.7628,1,0.95,29
2.2,1.2611,1.0523,1.058,0.76102,1,0.94833,29
2.2,1.2322,1.0446,1.076,0.75924,1,0.94666,29
2.2,1.2033,1.0368,1.094,0.75746,1,0.94499,29
2.2,1.1744,1.0291,1.112,0.75568,1,0.94332,29
2.2,1.1455,1.0214,1.13,0.7539,1,0.94165,29
2.2,1.1166,1.0137,1.148,0.75212,1,0.93998,29
2.2,1.0877,1.006,1.166,0.75034,1,0.93831,29
2.2,1.0588,0.99824,1.184,0.74856,1,0.93664,29
2.2,1.0299,0.99052,1.202,0.74678,1,0.93497,29
2.11,1.001,0.9828,1.22,0.745,1,0.9333,29.147
2.02,1.0009,0.98572,1.244,0.75002,1,0.93164,29.294
1.93,1.0008,0.98864,1.268,0.75504,1,0.92998,29.442
1.84,1.0007,0.99156,1.292,0.76006,1,0.92832,29.589
1.75,1.0006,0.99448,1.316,0.76508,1,0.92666,29.736
1.66,1.0005,0.9974,1.34,0.7701,1,0.925,29.883
1.57,1.0004,1.0003,1.364,0.77512,1,0.92334,30.03
1.48,1.0003,1.0032,1.388,0.78014,1,0.92168,30.178
1.39,1.0002,1.0062,1.412,0.78516,1,0.92002,30.9325
1.3,1.0001,1.0091,1.436,0.79018,1,0.91836,30.472
1.7,1,1.012,1.46,0.7952,1,0.9167,30.638
2.1,1.01,1.0189,1.449,0.79348,1,0.91503,30.804
2.5,1.02,1.0258,1.438,0.79176,1,0.91336,30.97
2.9,1.03,1.0327,1.427,0.79004,1,0.91169,31.136
3.3,1.04,1.0396,1.416,0.78832,1,0.91002,31.302
3.7,1.05,1.0465,1.405,0.7866,1,0.90835,31.468
4.1,1.06,1.0534,1.394,0.78488,1,0.90668,31.634
4.5,1.07,1.0603,1.383,0.78316,1,0.90501,31.8
4.9,1.08,1.0672,1.372,0.78144,1,0.90334,31.966
5.3,1.09,1.0741,1.361,0.77972,1,0.90167,32.132
5.01,1.1,1.081,1.35,0.778,1,0.9,31.719
4.72,1.0666,1.0773,1.35,0.77727,1,0.89833,31.306
4.43,1.0331,1.0736,1.35,0.77654,1,0.89666,30.892
4.14,0.99968,1.0699,1.35,0.77581,1,0.89499,30.479
3.85,0.96624,1.0662,1.35,0.77508,1,0.89332,30.066
3.56,0.9328,1.0625,1.35,0.77435,1,0.89165,29.653
3.27,0.89936,1.0588,1.35,0.77362,1,0.88998,29.24
