58.92 50 58.92
59.92 50.1 59.92
60.92 50.2 60.92
61.93 50.3 61.93
62.93 50.4 62.93
27.00 50.5 27.00
26.00 50.6 26.00
36.95 50.7 36.95
55.25 50.8 55.25
56.71 50.9 56.71
53.43 51 53.43
53.95 51.1 53.95
54.47 51.2 54.47
54.99 51.3 54.99
55.51 51.4 55.51
59.88 51.5 59.88
64.53 51.6 64.53
69.18 51.7 69.18
73.84 51.8 73.84
76.74 51.9 76.74
77.34 52 77.34
87.96 52.1 87.96
91.61 52.2 91.61
100.12 52.3 100.12
121.87 52.4 121.87
124.56 52.5 124.56
127.26 52.6 127.26
129.96 52.7 129.96
132.65 52.8 132.65
77.71 52.9 77.71
78.96 53 78.96
80.23 53.1 80.23
83.22 53.2 83.22
89.26 53.3 89.26
94.32 53.4 94.32
91.77 53.5 91.77
92.00 53.6 92.00
25.00 53.7 25.00
26.00 53.8 26.00
38.00 53.9 38.00
54.00 54 54.00
60.28 54.1 60.28
66.07 54.2 66.07
66.85 54.3 66.85
67.93 54.4 67.93
69.00 54.5 69.00
70.08 54.6 70.08
63.44 54.7 63.44
30.00 54.8 30.00
28.00 54.9 28.00
37.72 55 37.72
49.80 55.1 49.80
48.22 55.2 48.22
46.64 55.3 46.64
45.06 55.4 45.06
49.44 55.5 49.44
43.50 55.6 43.50
42.97 55.7 42.97
44.77 55.8 44.77
44.83 55.9 44.83
44.63 56 44.63
44.40 56.1 44.40
44.18 56.2 44.18
43.95 56.3 43.95
42.92 56.4 42.92
38.62 56.5 38.62
33.00 56.6 33.00
29.00 56.7 29.00
22.00 56.8 22.00
20.00 56.9 20.00
21.00 57 21.00
23.00 57.1 23.00
27.00 57.2 27.00
32.00 57.3 32.00
34.93 57.4 34.93
36.93 57.5 36.93
38.92 57.6 38.92
40.92 57.7 40.92
42.92 57.8 42.92
46.64 57.9 46.64
43.33 58 43.33
48.57 58.1 48.57
48.12 58.2 48.12
47.00 58.3 47.00
45.88 58.4 45.88
44.76 58.5 44.76
49.70 58.6 49.70
49.69 58.7 49.69
49.69 58.8 49.69
49.68 58.9 49.68
49.67 59 49.67
49.66 59.1 49.66
49.65 59.2 49.65
49.65 59.3 49.65
49.64 59.4 49.64
49.63 59.5 49.63
49.62 59.6 49.62
49.61 59.7 49.61
50.16 59.8 50.16
50.25 59.9 50.25
50.34 60 50.34
