/* DATA DESCRIPTION:
Citation:	Stott, LD et al. (1996): (Table 3) Carbon and oxygen isotopic results of planktonic foraminifera from DSDP Hole 80-550. doi:10.1594/PANGAEA.770077, 
	In Supplement to: Stott, Lowell D; Sinha, Ashish; Thiry, Medard; Aubry, Marie-Pierre; Berggren, William A (1996): Global d13C changes across the Paleocene-Eocene boundary: criteria for terrestrial-marine correlations. In: Knox, RWO'B; Corfield, RM; Dunay, RE (eds.), Correlation of the Early Paleogene in Northwest Europe, Geological Society Special Publication, 101, 381-399
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 48.515200 * LONGITUDE: -13.439500
	MINIMUM DEPTH, sediment: 365.7 m * MAXIMUM DEPTH, sediment: 409.4 m
Event(s):	80-550 * LATITUDE: 48.515200 * LONGITUDE: -13.439500 * DATE/TIME: 1981-06-30T00:00:00 * ELEVATION: -4420.0 m * RECOVERY: 252.60 m * PENETRATION: 536.50 m * LOCATION: North Atlantic/PLAIN * CAMPAIGN: Leg80 (URI: doi:10.2973/dsdp.proc.80.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 43 cores; 400 m cored; 23.5 m drilled; 63.1 % recovery
Comment:	Sediment depth is given in mbsf.
Parameter(s):	Sample code/label (Label) * PI: Stott, Lowell D * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment [m] (Depth) * Geocode
	Morozovella subbotinae, d13C [per mil PDB] (M. subbotinae d13C) * PI: Stott, Lowell D * METHOD: Mass spectrometer VG Micromass Prism
	Morozovella subbotinae, d18O [per mil PDB] (M. subbotinae d18O) * PI: Stott, Lowell D * METHOD: Mass spectrometer VG Micromass Prism
	Subbotina patagonica, d18O [per mil PDB] (S. patagonica d18O) * PI: Stott, Lowell D * METHOD: Mass spectrometer VG Micromass Prism
	Subbotina patagonica, d13C [per mil PDB] (S. patagonica d13C) * PI: Stott, Lowell D * METHOD: Mass spectrometer VG Micromass Prism
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	449 data points
*/
Label	Depth [m]	M. subbotinae d13C [per mil PDB]	M. subbotinae d18O [per mil PDB]	S. patagonica d18O [per mil PDB]	S. patagonica d13C [per mil PDB]
80-550-34-3,47-49	406.98	3.86	-2.44		
80-550-34-3,62-64	407.13	3.43	-2.23		
80-550-34-3,70-72	407.21	3.68	-1.94		
80-550-34-3,83-85	407.34	3.32			
80-550-34-3,97-99	407.48				
80-550-34-3,100-102	407.51				
80-550-34-3,109-111	407.60	4.04	-2.17		
80-550-34-3,125-127	407.76	4.10	-2.30		
80-550-34-4,4-6	408.05	3.39	-2.49		
80-550-34-4,14-16	408.15	3.36	-2.45		
80-550-34-4,23-25	408.24	3.21	-2.49		
80-550-34-4,29-31	408.30	3.30	-2.52		
80-550-34-4,33-35	408.34	3.23	-2.34		
80-550-34-4,38-40	408.39				
80-550-34-4,45-47	408.46				
80-550-34-4,54-56	408.55	3.00	-2.16		
80-550-34-4,62-64	408.63	3.00	-2.95		
80-550-33-4,76-78	408.77	3.11	-2.39		
80-550-34-4,89-91	408.90	3.11	-2.69		
80-550-34-4,101-103	409.02	3.10	-2.54	0.54	-1.01
80-550-34-4,119-121	409.20	2.54	-2.31	0.52	-1.94
80-550-34-4,138-140	409.39	2.18	-2.52		
