54530,0.42,-0.38
54590,0.59,-0.42
54620,0.61,-0.57
54710,0.64,-0.38
54750,0.57,-0.6
54750,0.33,-0.98
54790,0.69,-0.32
55710,0.15,-0.38
55770,0.9,-0.02
55820,1.07,0
55900,1.08,-0.32
55930,1.76,-1.87
56000,1.54,-1.13
56440,1.48,0.22
56550,1.5,-0.1
56690,1.62,0.13
56720,1.5,-0.1
56980,1.44,-0.01
57010,1.67,0.07
57060,2.06,0.25
57080,1.84,-0.11
57080,2,0.4
57200,1.75,0.17
57250,1.58,-0.13
57300,1.39,-0.67
57490,1.83,0.14
57490,1.89,0.14
57540,2.22,0.13
57540,2.18,0.2
57620,2.05,0.09
57680,1.88,-0.08
57730,2.05,0.29
57810,1.98,0.18
57870,2.02,0.31
57910,1.98,0.25
57970,2.04,0.38
58020,2,0.27
58050,2.03,0.14
58110,1.78,-0.34
58160,2.12,0.31
58260,1.89,0.07
58350,1.65,0.43
58380,1.54,0.3
58450,1.62,0.51
58550,1.46,0.3
58590,0.97,-0.4
58620,1.38,0.37
58140,1.93,0.23
58260,2.05,0.38
58450,1.51,0.18
58610,1.39,0.35
58860,1.63,0.49
58930,1.7,0.16
59100,1.68,0.55
59160,1.48,0.61
59400,1.27,0.46
59570,1.4,0.44
59700,1.47,0.52
59810,1.28,0.39
59920,1.21,0.39
60130,1.2,0.49
60260,0.87,0.1
60380,0.94,0.34
60590,0.79,0.23
60700,1.09,0.33
60860,0.86,0.35
63450,2.03,-1.3
63550,1.95,-1.42
63660,2.13,-1.37
63710,2.09,-0.9
63870,2.02,-1.27
64030,1.89,-1.24
64070,2.04,-0.97
64110,2.18,-1.08
64160,2.27,-0.95
64200,2.06,-1.37
64240,1.92,-1.45
64280,2.04,-1.3
64340,2,-1.09
64390,1.98,-1.13
64430,1.73,-1.24
64470,1.75,-0.85
64510,1.87,-0.34
64550,1.85,-0.16
64680,1.78,-0.85
64720,1.83,-0.95
64760,1.84,-0.9
64810,1.98,-0.87
64830,2.19,-0.7
64850,2.15,-0.49
64870,2.02,-0.83
64880,2.02,-0.63
64890,1.91,-0.65
64900,2.03,-0.73
64910,2.49,-0.74
64910,2.83,-0.82
64920,2.94,-0.64
64940,2.87,-0.97
64990,2.76,-0.81
65040,2.55,-0.85
65080,2.55,-0.87
65160,2.5,-0.93
65290,2.64,-0.94
65490,2.48,-1.08
65570,2.49,-1.05
65660,2.83,-0.99
65760,2.8,-1.1
65840,2.78,-1.03
65930,2.76,-1.05
66030,2.72,-0.97
66120,2.8,-0.94
66200,2.65,-0.95
66280,2.86,-0.93
66390,2.71,-0.99
66510,2.64,-0.87
54420,1.79,-0.38
54610,2.02,-1.02
55970,3,-0.95
56330,3.22,-1.05
56850,3.23,-1.12
57190,3.46,-1.18
57510,3.69,-1.1
57820,3.81,-1.08
58150,3.68,-1.03
58470,3.38,-0.76
58630,3.27,-0.92
58150,3.76,-1.09
58480,3.45,-0.67
58840,3.33,-1.02
59110,3.06,-0.9
59420,2.9,-0.84
59720,3.06,-0.8
59900,2.86,-0.75
60080,2.82,-0.86
60220,2.8,-0.81
60400,2.45,-0.87
60560,2.34,-0.92
60720,2.68,-0.96
62610,2.04,-1.07
63100,2.18,-1.32
63550,2.13,-1.31
64160,2.42,-0.72
51980,1.46,-0.4
52000,1.37,-0.12
52030,1.36,-0.33
52050,1.37,-0.27
52080,1.42,-0.37
52110,1.44,-0.35
52140,1.5,-0.24
52170,1.47,-0.36
52190,1.43,-0.17
52200,1.48,-0.33
52200,1.45,-0.46
52210,1.43,-0.33
52210,1.34,-0.31
52220,1.49,-0.24
52230,1.42,-0.34
52230,1.39,-0.67
52240,1.35,-0.35
52240,1.32,-0.3
52250,1.37,-0.22
52250,1.34,-0.4
52260,1.3,-0.42
52260,1.32,-0.32
52270,1.31,-0.28
52280,1.33,-0.18
52280,1.38,-0.38
52290,1.4,-0.38
52290,1.32,-0.25
52300,1.37,-0.42
52300,1.29,-0.21
52310,1.19,-0.18
52310,1.31,-0.25
52320,1.39,-0.39
52320,1.4,-0.44
52330,1.21,-0.2
52330,1.18,-0.17
52330,1.18,-0.29
52340,1.34,-0.57
52340,1.32,-0.44
52350,1.35,-0.37
52350,1.22,-0.4
52360,1.3,-0.35
52370,1.36,-0.28
52370,1.39,-0.33
52380,1.31,-0.33
52390,1.32,-0.35
52390,1.29,-0.35
52390,1.29,-0.42
52390,1.28,-0.08
52400,1.28,-0.22
52400,1.29,-0.15
52410,1.27,-0.29
52410,1.27,-0.13
52420,1.25,-0.18
52430,1.31,-0.32
52440,1.28,-0.24
52440,1.31,-0.54
52450,1.31,-0.26
52460,1.16,-0.22
52460,1.3,-0.29
52470,1.19,-0.17
52480,1.2,-0.19
52490,1.13,-0.32
52490,1.13,-0.28
52500,1.03,-0.27
52510,0.99,-0.25
52510,1.14,-0.29
52520,1.17,-0.29
52520,1.17,-0.12
52530,1.03,-0.16
52540,1.01,-0.31
52540,1.23,-0.47
52540,0.78,-0.32
52550,1.25,-0.38
52550,0.9,-0.41
52550,0.88,-0.27
52550,0.8,-0.53
52550,0.79,-0.21
52550,0.74,-0.55
52560,1.24,-0.34
52560,1.21,-0.18
52570,0.8,-0.33
52570,1.26,-0.14
52570,1.08,-0.29
52570,0.66,-0.77
52580,0.67,-0.64
52580,0.77,-0.63
52590,0.79,-0.56
52590,0.83,-0.63
52600,0.73,-0.69
52600,1,-0.51
52600,1.01,-0.49
52610,0.93,-0.54
52610,1.11,-0.46
52620,1.05,-0.57
52620,1.16,-0.41
52630,1.17,-0.35
52630,1.16,-0.47
52640,1.21,-0.32
52640,1.05,-0.56
52640,1.27,-0.27
52650,1.21,-0.31
52650,1.25,-0.54
52660,1.27,-0.13
52660,1.25,-0.32
52670,1.2,-0.51
52670,1.18,-0.29
52680,1.21,-0.23
52680,1.22,-0.38
52690,1.02,-0.52
52690,1.09,-0.35
52700,1.09,-0.3
52700,1.14,-0.5
52700,1.08,-0.4
52710,1.12,-0.42
52710,1.08,-0.4
52720,1.13,-0.4
52720,1.08,-0.68
52730,1.2,-0.32
52730,1.11,-0.42
52730,1.11,-0.48
52740,1.12,-0.66
52740,1.09,-0.58
52750,1.07,-0.57
52750,1.14,-0.55
52750,1.07,-0.6
52760,1.22,-0.44
52760,1.2,-0.54
52770,1.17,-0.6
52770,1.44,-0.83
52780,1.25,-0.7
52780,1.34,-0.41
52790,1.33,-0.48
52790,1.3,-0.62
52800,1.35,-0.57
52800,1.34,-0.49
52810,1.41,-0.56
52810,1.27,-0.65
52810,1.28,-0.49
52820,1.33,-0.55
52830,1.23,-0.44
52830,1.2,-0.47
52840,1.21,-0.5
52840,1.36,-0.84
52850,1.33,-0.58
52850,1.29,-0.34
52860,1.3,-0.6
52860,1.25,-0.6
52870,1.31,-0.63
52870,1.14,-0.56
52880,1.26,-0.61
52880,1.32,-0.51
52890,1.29,-0.47
52900,1.32,-0.47
52900,1.38,-0.65
52900,1.17,-0.58
52910,1.27,-0.74
52910,1.35,-0.39
52920,1.3,-0.41
52930,1.04,-0.47
52930,1.31,-0.36
52930,1.3,-0.37
52940,1.31,-0.53
52940,1.33,-0.56
52950,1.3,-0.47
52960,1.3,-0.44
52960,1.22,-0.48
52970,1.25,-0.48
52970,1.25,-0.51
52980,1.23,-0.29
52980,1.27,-0.31
52990,1.12,-0.48
52990,1.2,-0.53
53000,1.28,-0.3
53010,1.19,-0.31
53010,1.16,-0.27
53020,1.22,-0.34
53030,1.15,-0.3
53030,1.13,-0.41
53040,1.15,-0.43
53040,1.17,-0.45
53050,1.18,-0.39
53060,1.19,-0.41
53060,1.04,-0.46
53070,1.15,-0.47
53070,1.14,-0.4
53080,1.06,-0.37
53090,1.09,-0.51
53090,1.17,-0.64
53100,1.11,-0.55
53110,1.2,-0.5
53110,1.16,-0.46
53120,1.2,-0.49
53120,1.29,-0.6
53130,1.39,-0.4
53140,1.4,-0.64
53140,1.41,-0.42
53140,1.41,-0.47
53150,1.38,-0.56
53160,1.46,-0.49
53160,1.45,-0.49
53170,1.5,-0.55
53170,1.29,-0.52
53180,1.49,-0.42
53180,1.42,-0.54
53190,1.35,-0.74
53190,1.45,-0.67
53200,1.4,-0.69
53200,1.45,-0.73
53200,1.46,-0.61
53210,1.48,-0.64
53210,1.45,-0.61
53220,1.42,-0.62
53220,1.44,-0.57
53220,1.47,-0.6
53220,1.41,-0.57
53230,1.39,-0.71
53230,1.45,-0.43
53240,1.5,-0.47
53240,1.41,-0.37
53240,1.44,-0.4
53250,1.43,-0.39
53250,1.47,-0.46
53250,1.47,-0.41
53260,1.46,-0.39
53260,1.35,-0.52
53270,1.39,-0.49
53270,1.42,-0.45
53280,1.41,-0.4
53280,1.39,-0.47
53290,1.35,-0.56
53300,1.34,-0.53
53300,1.35,-0.53
53310,1.39,-0.45
53320,1.36,-0.51
53320,1.36,-0.39
53330,1.37,-0.26
53330,1.36,-0.37
53340,1.33,-0.3
53350,1.39,-0.28
53350,1.35,-0.24
53360,1.2,-0.3
53370,1.21,-0.27
53370,1.17,-0.36
53380,1.2,-0.41
53380,1.23,-0.44
53390,1.26,-0.53
53400,1.2,-0.41
53400,1.38,-0.43
53410,1.42,-0.32
53420,1.38,-0.3
53430,1.35,-0.27
53430,1.36,-0.22
53440,1.3,-0.28
53450,1.14,-0.26
53460,1.07,-0.37
53460,1.04,-0.37
53470,1.09,-0.37
53480,1.11,-0.23
53490,1.05,-0.43
53500,1.15,-0.51
53500,1.39,-0.56
53510,1.54,-0.29
53510,1.56,-0.24
53520,1.51,-0.18
53530,1.58,-0.13
53530,1.54,-0.23
53540,1.53,-0.25
53550,1.69,-0.45
53550,1.51,-0.49
53560,1.59,-0.5
53570,1.58,-0.53
53570,1.57,-0.47
53580,1.64,-0.39
53590,1.54,-0.5
53590,1.66,-0.56
53600,1.54,-0.43
