5.2,,,328,311,345
5.2,,,304,289,320
5.3,,,229,217,243
7.4,,,304,288,320
7.8,,,201,190,212
8.2,,,206,195,216
8.6,,,237,221,252
9,,,228,212,244
9.4,,,224,207,242
9.9,,,233,214,253
12.1,,,344,327,363
13.2,,,385,368,403
15.1,,,433,415,453
16.1,,,389,373,406
17.2,,,390,373,408
18.1,,,408,390,427
19.1,,,368,352,385
