0.2,,,289,263,315
0.3,,,246,224,268
0.5,,,255,232,278
0.9,,,243,221,264
1.0,,,430,360,510
1.0,,,252,230,275
1.2,,,266,243,290
1.3,,,271,246,295
1.5,,,277,252,302
1.8,,,270,246,295
2.1,,,254,231,277
2.3,,,273,249,298
2.6,,,267,243,291
2.8,,,299,272,326
2.8,,,303,276,331
2.9,,,323,294,352
2.9,,,333,303,363
3.0,,,372,338,405
3.1,,,353,321,385
3.1,,,344,313,375
3.2,,,335,305,365
3.2,,,341,310,372
3.6,,,362,329,395
3.8,,,357,325,389
3.9,,,338,307,368
4.0,,,329,300,359
4.1,,,354,322,385
4.3,,,381,348,414
4.4,,,351,320,382
4.6,,,370,337,402
4.8,,,351,320,382
4.9,,,383,350,417
4.9,,,422,385,459
5.0,,,448,409,488
5.2,,,457,417,497
5.4,,,268,247,340
5.8,,,246,227,312
6.1,,,256,236,324
6.4,,,259,239,328
6.8,,,286,263,366
7.2,,,249,229,314
7.3,,,271,251,344
7.6,,,237,218,300
8.0,,,340,285,400
8.3,,,244,225,309
8.7,,,254,235,321
9.1,,,234,215,295
9.1,,,276,254,352
9.6,,,265,245,336
9.6,,,271,250,343
9.6,,,241,222,304
9.6,,,211,193,266
9.8,,,254,234,321
9.9,,,242,223,304
10.1,,,252,233,319
10.2,,,262,242,332
10.2,,,251,231,318
10.3,,,250,231,316
10.5,,,258,238,327
10.6,,,229,212,287
10.7,,,253,233,320
10.9,,,234,216,295
10.9,,,245,226,309
11.0,,,510,425,575
11.1,,,226,209,285
11.3,,,239,220,301
11.4,,,217,200,274
11.5,,,210,194,262
11.6,,,232,213,292
11.9,,,252,233,318
12.1,,,219,201,276
12.2,,,208,191,261
12.2,,,214,197,269
12.3,,,219,202,276
12.5,,,224,206,284
12.7,,,216,198,272
12.7,,,208,192,263
12.8,,,230,212,291
12.9,,,217,200,272
12.9,,,235,216,296
13.0,,,420,375,500
13.1,,,211,195,265
13.2,,,232,214,291
13.3,,,237,218,299
13.3,,,235,217,297
13.4,,,227,209,285
13.4,,,230,212,288
13.5,,,230,212,288
13.5,,,209,193,262
13.6,,,194,178,243
13.7,,,219,202,277
14.1,,,237,219,300
14.2,,,226,208,286
14.5,,,211,194,265
14.9,,,243,223,307
15.0,,,236,218,297
15.1,,,226,208,285
15.1,,,221,204,280
15.2,,,193,177,242
15.3,,,205,189,257
15.4,,,208,192,260
15.5,,,211,195,265
16.1,,,219,202,275
16.2,,,181,167,227
16.3,,,184,170,230
16.3,,,245,226,310
16.4,,,206,190,260
16.6,,,226,208,286
16.8,,,240,233,327
17.3,,,239,220,301
17.3,,,213,208,289
17.3,,,211,205,287
17.4,,,229,223,313
17.5,,,222,216,302
17.5,,,236,229,322
17.5,,,244,238,332
17.6,,,228,210,289
17.6,,,223,217,304
17.6,,,218,213,297
17.7,,,224,219,305
17.7,,,224,218,304
17.8,,,227,221,307
17.8,,,240,234,326
17.8,,,226,221,308
17.9,,,208,203,283
17.9,,,223,217,302
18.1,,,234,216,296
18.3,,,259,239,327
18.3,,,227,222,307
18.4,,,227,222,309
18.5,,,228,222,309
18.5,,,221,204,279
18.6,,,239,220,302
18.6,,,223,205,280
18.9,,,231,225,314
19.0,,,236,218,299
19.2,,,224,206,283
19.2,,,243,237,331
19.4,,,236,230,320
19.5,,,220,215,299
19.7,,,217,212,296
20.0,,,265,258,363
20.0,,,255,235,324
20.0,,,460,390,540
20.2,,,214,197,270
20.3,,,313,302,430
20.4,,,367,353,503
20.5,,,329,317,453
20.5,,,214,196,270
20.8,,,289,280,393
20.8,,,211,194,267
20.8,,,208,191,261
20.8,,,321,310,440
20.9,,,247,227,313
21.1,,,269,247,344
21.5,,,295,286,404
22.2,,,326,314,447
22.7,,,266,258,363
23.3,,,217,199,274
23.8,,,264,243,337
23.9,,,258,250,353
23.9,,,336,324,464
23.9,,,278,257,353
24.2,,,264,244,333
24.4,,,253,233,323
24.5,,,229,210,290
24.5,,,306,295,421
24.6,,,264,256,362
24.7,,,423,404,586
24.7,,,473,413,660
24.7,,,750,634,1085
24.9,,,341,314,440
25.0,,,353,326,456
25.0,,,302,278,388
25.1,,,592,510,838
25.2,,,356,316,488
25.3,,,364,323,501
26.0,,,443,389,615
26.1,,,413,363,570
26.1,,,398,349,552
26.5,,,365,322,503
27.1,,,582,499,847
27.4,,,535,462,772
28.6,,,438,383,610
28.7,,,383,336,544
28.9,,,519,450,728
29.5,,,321,284,451
30.0,,,503,438,703
30.1,,,380,336,522
30.2,,,530,462,740
30.2,,,579,503,813
30.3,,,333,294,471
30.6,,,553,482,775
32.2,,,1158,962,1678
32.7,,,847,715,1228
32.9,,,832,698,1189
33.0,,,1071,882,1567
33.0,,,676,576,950
33.1,,,1232,1019,1795
34.1,,,1093,917,1568
34.4,,,901,769,1268
34.8,,,872,769,1270
35.2,,,709,617,977
35.4,,,786,673,1101
35.8,,,968,825,1365
36.0,,,768,658,1074
37.0,,,807,689,1133
40.0,,,670,570,780
42.5,,,996,845,1333
42.7,,,1480,1202,2196
43.2,,,1041,873,1496
44.5,,,1176,987,1691
55.5,,,500,450,550
56.0,,,600,550,740
