170.055	44.75	54.95525	0.57	-0.03
170.06	44.5	54.9555	0.565	0.04
170.065	44.25	54.95575	0.56	0.04
170.075	43.75	54.95625	0.55	0.08
170.085	43.25	54.95675	0.54	0.18
170.095	42.75	54.95725	0.53	0.16
170.105	42.25	54.95775	0.52	0.09
170.11	42	54.958	0.515	0.08
170.115	41.75	54.95825	0.51	0.11
170.125	41.25	54.95875	0.5	0.16
170.135	40.75	54.95925	0.49	0.21
170.145	40.25	54.95975	0.48	0.18
170.155	39.6875	54.9603125	0.47	0.16
170.16	39.375	54.960625	0.465	0.23
170.165	39.0625	54.9609375	0.46	0.36
170.175	38.4375	54.9615625	0.45	0.35
170.185	37.8125	54.9621875	0.44	0.34
170.195	37.1875	54.9628125	0.43	0.36
170.205	36.5625	54.9634375	0.42	0.32
170.21	36.25	54.96375	0.415	0.34
170.225	35.3125	54.9646875	0.4	0.36
170.245	34.0625	54.9659375	0.38	0.34
170.255	33.4375	54.9665625	0.37	0.33
170.26	33.125	54.966875	0.365	0.35
170.265	32.8125	54.9671875	0.36	0.36
170.275	32.1875	54.9678125	0.35	0.32
170.295	30.9375	54.9690625	0.33	0.2
170.305	30.3125	54.9696875	0.32	0.22
170.31	30	54.97	0.315	0.28
170.325	29.0625	54.9709375	0.3	0.26
170.335	28.4375	54.9715625	0.29	0.2
170.345	27.8125	54.9721875	0.28	0.15
170.355	27.1875	54.9728125	0.27	0.21
170.36	26.875	54.973125	0.265	0.34
170.365	26.5625	54.9734375	0.26	0.34
170.375	25.9375	54.9740625	0.25	0.28
170.385	25.3125	54.9746875	0.24	0.28
170.395	24.6875	54.9753125	0.23	0.21
170.405	24.0625	54.9759375	0.22	0.18
170.41	23.75	54.97625	0.215	0.16
170.415	23.4375	54.9765625	0.21	0.31
170.425	22.8125	54.9771875	0.2	0.55
170.435	22.1875	54.9778125	0.19	0.57
170.445	21.5625	54.9784375	0.18	0.69
170.455	20.9375	54.9790625	0.17	0.85
170.46	20.625	54.979375	0.165	0.96
170.465	20.3125	54.9796875	0.16	1.03
170.475	19.41176471	54.98058824	0.15	1.08
170.485	18.23529412	54.98176471	0.14	1.11
