"Murphy et al., (2010), Carbonate data - Electronic Annex - Table EA2"									
"Extends dataset published in Zachos et al., (2005)"									
Leg	Site	Hole	Core	T	Sec	top (cm)	bot (cm)	Depth (mcd)	CaCO3 (wt%)
208	1266	B	6	H	4	145	146	302.05	82.08
208	1266	B	6	H	5	9	10	302.19	87.42
208	1266	B	6	H	5	18	19	302.28	89.33
208	1266	B	6	H	5	27	28	302.37	89.92
208	1266	B	6	H	5	36	37	302.46	87.75
208	1266	B	6	H	5	45	46	302.55	85.92
208	1266	B	6	H	5	54	55	302.64	88.17
208	1266	B	6	H	5	63	64	302.73	91.83
208	1266	B	6	H	5	72	73	302.82	91.33
208	1266	B	6	H	5	81	82	302.91	88.75
208	1266	B	6	H	5	90	91	303	87.83
208	1266	B	6	H	5	99	100	303.09	90.17
208	1266	B	6	H	5	108	109	303.18	91.50
208	1266	B	6	H	5	117	118	303.27	90.17
208	1266	B	6	H	5	126	127	303.36	91.67
208	1266	B	6	H	5	135	136	303.45	91.92
208	1266	B	6	H	5	144	145	303.54	90.92
208	1266	B	6	H	6	8	9	303.68	91.67
208	1266	B	6	H	6	17	18	303.77	92.75
208	1266	B	6	H	6	26	27	303.86	92.00
208	1266	B	6	H	6	35	36	303.95	92.58
208	1266	B	6	H	6	44	45	304.04	87.83
208	1266	B	6	H	6	53	54	304.13	87.58
208	1266	B	6	H	6	62	63	304.22	89.67
