SampleID	mbsf	rmbsf	EccAge	O18PDB	C13PDB	C13out
690B-15-1-3	128.130006103516	129.159989624023		-0.155283098360656		1.71705072131148
690B-15-1-15	128.250006103516	129.279989624023		-0.209495655737705		1.71803147540984
690B-15-1-30	128.400006103516	129.429989624023		-0.228045213114754		1.9026822295082
690B-15-1-44	128.540006103516	129.569989624023		-0.150078770491804		1.91305298360656
690B-15-1-60	128.700006103516	129.729989624023		-0.0802523278688528		1.99164373770492
690B-15-1-75	128.850006103516	129.879989624023		-0.130424885245902		1.84750449180328
690B-15-1-90	129.000006103516	130.029989624023		-0.273095442622951		1.53540524590164
690B-15-1-107	129.170006103516	130.199989624023		-0.0680610000000003		1.651466
690B-15-1-120	129.300006103516	130.329989624023		-0.275211432432433		1.73303045945946
690B-15-1-120	129.300006103516	130.329989624023		-0.28229355737705		1.66975675409836
690B-15-1-135	129.450006103516	130.479989624023		-0.0640231147540987		1.49514750819672
690B-15-2-5	129.650006103516	130.679989624023		-0.221889672131148		1.60482826229508
690B-15-2-35	129.950006103516	130.979989624023		-0.375972786885246		1.2762497704918
690B-15-2-51	130.110006103516	131.139989624023		-0.462986972972973		1.57225378378378
690B-15-2-65	130.250006103516	131.279989624023		-0.352708901639345		1.60877127868852
690B-15-2-80	130.400006103516	131.429989624023		-0.275986459016394		1.68586203278689
690B-15-2-80	130.400006103516	131.429989624023		-0.358053486486487		1.69280489189189
690B-15-2-96	130.560006103516	131.589989624023		-0.536624016393443		1.30346278688525
690B-15-2-110	130.700006103516	131.729989624023		-0.425477573770492		1.52255354098361
690B-15-2-125	130.850006103516	131.879989624023		-0.379347131147541		1.65652429508197
690B-15-2-135	130.950006103516	131.979989624023		-0.466059		1.583496
690B-15-3-2	131.120006103516	132.159984130859		-0.185286540983607		1.79298773770492
690B-15-3-17	131.270006103516	132.309984130859		-0.31430824590164		1.37120442622951
690B-15-3-32	131.420006103516	132.459984130859		-0.286091950819673		1.6317911147541
690B-15-3-47	131.570006103516	132.609984130859		-0.373634513513514		1.61704710810811
690B-15-3-47	131.570006103516	132.609984130859		-0.448010655737705		1.61735780327869
690B-15-3-62	131.720006103516	132.759984130859		-0.343168360655738		1.58710449180328
690B-15-3-77	131.870006103516	132.909984130859		-0.258493065573771		1.67160118032787
690B-15-3-90	132.000006103516	133.039984130859		-0.177323770491804		1.62429786885246
690B-15-3-105	132.150006103516	133.189984130859		-0.187244475409836		1.67974455737705
690B-15-3-118	132.280006103516	133.319984130859		-0.290311180327869		1.71673124590164
690B-15-3-133	132.430006103516	133.469984130859		-0.304470885245902		1.67979793442623
690B-15-3-148	132.580006103516	133.619984130859		-0.220546590163935		1.63441462295082
690B-15-4-7	132.670006103516	133.72998840332		-0.236388295081967		1.73024131147541
690B-15-4-22	132.820006103516	133.87998840332		-0.256668		1.704418
690B-15-4-36	132.960006103516	134.01998840332		-0.237274704918033		1.71237468852459
690B-15-4-51	133.110006103516	134.16998840332		-0.523878540540541		1.61600932432432
690B-15-4-66	133.260006103516	134.31998840332	1.40163920749974	-0.363317114754099	0.90040106557377	
690B-15-4-81	133.410006103516	134.46998840332	1.39444659287083	-0.409046054054054	0.776268432432432	
690B-15-4-81	133.410006103516	134.46998840332	1.39444659287083	-0.356111819672131	0.85200475409836	
690B-15-4-96	133.560006103516	134.61998840332	1.38725397824192	-0.251696524590164	0.878998442622951	
690B-15-4-111	133.710006103516	134.76998840332	1.380061363613	-0.382946567567568	0.87035854054054	
690B-15-4-111	133.710006103516	134.76998840332	1.380061363613	-0.244171229508197	0.894189131147541	
690B-15-4-126	133.860006103516	134.91998840332	1.37286874898409	-0.455324081081081	0.866023648648648	
690B-15-4-126	133.860006103516	134.91998840332	1.37286874898409	-0.31244993442623	0.927518819672131	
690B-15-4-141	134.010006103516	135.06998840332	1.36567613435518	-0.396095513089005	0.7586492513089	
690B-15-5-5	134.150006103516	135.20998840332	1.35896302736819	-0.418856614218793	0.650648119316616	
690B-15-5-20	134.300006103516	135.35998840332	1.35177041273928	-0.572695715348581	0.436582987324332	
690B-15-5-33	134.430006103516	135.48998840332	1.34553681339422	-0.517957026137464	0.112457997095837	
690B-15-5-41	134.510006103516	135.56998840332	1.34170075225881	-0.429118663117135	0.0185389707647625	
690B-15-5-50	134.600006103516	135.65998840332	1.33738518348146	-0.534220300096806	0.096934744433688	
690B-15-5-58	134.680006103516	135.73998840332	1.33354912234604	-0.563219937076476	0.185535118102613	
690B-15-5-67	134.770006103516	135.82998840332	1.32923355356869	-0.464070574056147	0.266240491771539	
690B-15-5-76	134.860006103516	135.91998840332	1.32491798479134	-0.43367248499516	0.439608612778315	
690B-15-5-85	134.950006103516	136.00998840332	1.32064299276939	-0.421998121974831	0.600986986447241	
690B-15-5-94	135.040006103516	136.09998840332	1.31640046215174	-0.362227758954502	1.07953636011617	
690B-15-5-103	135.130006103516	136.18998840332	1.31215793153409	-0.303992395934172	1.11251973378509	
690B-15-5-112	135.220006103516	136.27998840332	1.30791540091645	-0.359240032913843	0.909766107454017	
690B-15-5-121	135.310006103516	136.36998840332	1.3036728702988	-0.256473669893514	0.971416481122943	
690B-15-5-130	135.400006103516	136.45998840332	1.29943033968115	-0.274458306873185	1.11685985479187	
