53.200	7.662	1400	32.7	%Anagnostou16
45.600	7.726	1100	31.5	
44.400	7.768	920	29.8	
36.900	7.798	770	31.4	
40.300	7.828	650	31.8	%Ed15
32.980	7.879	550	27.9	%P09
33.170	7.821	710	28.5	
33.330	7.767	890	29.0	
33.380	7.769	930	27.5	
33.590	7.831	690	27.9	
33.960	7.782	870	29.8	
34.210	7.745	960	29.7	
34.420	7.747	940	30.1	
34.630	7.787	810	29.2	
12.281	8.086	190	30.0	%F761
12.719	8.031	223	30.4	
13.253	8.000	244	30.5	
13.477	8.001	243	30.7	
13.716	8.006	240	30.9	
13.833	7.981	257	31.5	
14.171	7.967	268	31.2	
14.311	7.962	272	30.4	
14.796	7.849	374	30.8	
15.037	7.893	332	30.2	
15.560	7.929	298	32.1	
15.866	7.832	392	31.9	
16.382	8.028	225	30.9	
11.800	7.998	247	28.5	%F926
13.600	8.019	232	29.7	
14.940	7.878	346	30.5	
1.975	8.235	219	29.5	%Ba11
2.027	8.190	262	29.5	
2.078	8.209	246	29.4	
2.161	8.233	221	29.4	
2.166	8.097	383	29.4	
2.202	8.086	386	29.3	
2.305	8.211	238	29.6	
2.503	8.121	367	28.2	
2.559	8.154	310	29.3	
2.601	8.249	203	27.5	
2.685	8.271	194	26.0	
2.702	8.131	358	27.4	
2.706	8.156	314	27.1	
2.708	8.217	238	27.1	
2.710	8.147	334	26.5	
2.752	8.163	300	28.4	
2.773	8.090	404	29.2	
2.779	8.093	418	28.1	
2.781	8.145	316	28.3	
2.795	8.152	314	28.5	
2.919	8.220	241	26.8	
3.001	8.131	354	27.3	
3.074	8.189	265	28.1	
3.081	8.096	411	28.0	
3.105	8.196	249	28.4	
3.156	8.209	233	29.5	
3.219	8.204	242	29.5	
3.239	8.132	330	29.9	
3.259	8.188	252	30.1	
3.322	8.183	274	28.7	
3.403	8.189	255	29.7	
3.407	8.198	251	28.7	
3.471	8.155	292	29.9	
3.543	8.132	329	30.7	
3.591	8.168	282	29.6	
3.716	8.150	310	29.9	
3.792	8.165	288	31.3	
3.870	8.102	408	28.8	
3.961	8.147	295	31.1	
4.036	8.130	334	30.3	
4.117	8.095	394	30.8	
4.580	8.074	425	29.9	
0.004	8.15	293	28.3	%Se10 sac
0.9	8.17	284	25.3	
1.5	8.2	225	28	
2.109	8.04	401	27.3	
2.985	8.06	391	28.9	
3.229	8.05	389	28.4	
4.028	8.01	446	29.8	
4.342	8.02	431	30.1	

