0.3,0.08,0.06,0.06,0.09,0.12,0.15,0.16
0.57,0.35,0.34,0.32,0.32,0.3,0.32,0.33
0.85,0.62,0.6,0.58,0.59,0.6,0.6,0.59
1.1,0.89,0.85,0.85,0.85,0.85,0.88,0.87
1.37,1.17,1.1,1.09,1.1,1.12,1.14,1.12
1.62,1.43,1.34,1.34,1.36,1.37,1.38,1.37
