SITE***	Age (Ma)	Genus	d18O adj.*	d13C	d18O 5pt**	d13C 5pt	"*O-isotope Adustments: CIB (+0.64), NUT (+0.45) (see Shackleton et al., 1984; Shackleton & Hall, 1997)"
849	0.1	CIB	3.89	0.02	3.76	0.28
607	0.1004	CIB	3.62	0.83	3.71	0.19
659	0.101	CIB	3.85		3.67	0.26
806	0.104	CIB	3.47	-0.06	3.66	0.25
659	0.104	CIB	3.54		3.73	0.21
849	0.104	CIB	3.8	-0.01	3.71	0.17
607	0.1062	CIB	3.97	0.71	3.78	0.15
849	0.108	CIB	3.76	0.06	3.84	
806	0.109	CIB	3.81	-0.16	3.88	0.33
659	0.109	CIB	3.85		3.82	0.17
607	0.112	CIB	4	0.7	3.84	0.21
849	0.112	CIB	3.68	0.09	3.74	0.4
659	0.113	CIB	3.87		3.66	0.26
659	0.114	CIB	3.28		3.59	0.33
806	0.114	CIB	3.45	0	3.54	0.36
607	0.1155	CIB	3.69	0.91	3.62	
849	0.116	CIB	3.43	0.16	3.69	0.47
659	0.118	CIB	4.25		3.54	0.43
607	0.1188	CIB	3.62	0.81	3.45	0.28
806	0.119	CIB	2.72	-0.14	3.41	0.26
659	0.12	CIB	3.22		3.2	0.39
849	0.12	CIB	3.25	0.12	3.01	0.25
607	0.1217	CIB	3.19	0.78	3.13	0.3
659	0.122	CIB	2.69		3.1	0.46
849	0.124	CIB	3.3	0	3	0.57
607	0.1244	CIB	3.05	0.92	3.25	0.21
659	0.126	CIB	2.79		3.48	0.23
806	0.126	CIB	4.4	-0.3	3.57	0.19
607	0.1269	CIB	3.84	0.29	3.7	-0.05
849	0.128	CIB	3.78	-0.14	4.07	-0.01
659	0.131	CIB	3.69		4.08	0
607	0.1312	CIB	4.64	0.12	4.21	-0.16
849	0.132	CIB	4.43	-0.27	4.45	-0.16
806	0.133	CIB	4.5	-0.34	4.67	-0.21
659	0.135	CIB	4.99		4.73	-0.31
849	0.136	CIB	4.77	-0.34	4.75	-0.34
659	0.136	CIB	4.96		4.83	-0.26
659	0.137	CIB	4.52		4.74	
607	0.14	CIB	4.89	-0.17	4.75	-0.27
659	0.14	CIB	4.58		4.67	-0.29
849	0.14	CIB	4.79	-0.37	4.72	
806	0.141	CIB	4.55	-0.33	4.65	-0.35
659	0.141	CIB	4.8		4.65	
659	0.143	CIB	4.55		4.64	-0.32
659	0.144	CIB	4.56		4.72	-0.28
849	0.144	CIB	4.74	-0.31	4.61	-0.34
607	0.1447	CIB	4.93	-0.25	4.7	-0.26
806	0.145	CIB	4.29	-0.45	4.72	-0.26
607	0.1466	CIB	4.97	-0.03	4.7	-0.25
849	0.148	CIB	4.65	-0.29	4.68	-0.2
659	0.148	CIB	4.68		4.84	-0.11
607	0.1482	CIB	4.83	-0.02	4.79	-0.08
659	0.149	CIB	5.07		4.72	-0.14
607	0.1498	CIB	4.74	0.07	4.7	-0.19
806	0.151	CIB	4.3	-0.47	4.65	-0.15
849	0.152	CIB	4.58	-0.35	4.59	
607	0.1521	CIB	4.58	0.14	4.56	-0.2
659	0.153	CIB	4.78		4.52	-0.19
607	0.1548	CIB	4.59	-0.13	4.53	-0.19
806	0.156	CIB	4.06	-0.41	4.51	-0.29
849	0.156	CIB	4.63	-0.34	4.47	-0.2
659	0.157	CIB	4.5		4.48	-0.25
607	0.1575	CIB	4.6	0.09	4.55	-0.12
849	0.16	CIB	4.62	-0.35	4.49	-0.15
607	0.1602	CIB	4.38	0.14	4.54	
806	0.161	CIB	4.33	-0.48	4.49	-0.12
659	0.161	CIB	4.77		4.45	-0.11
607	0.163	CIB	4.35	0.21	4.44	-0.07
849	0.164	CIB	4.43	-0.3	4.41	-0.06
607	0.1655	CIB	4.3	0.28	4.36	
806	0.166	CIB	4.19	-0.44	4.36	-0.02
659	0.167	CIB	4.53		4.33	-0.01
607	0.1677	CIB	4.36	0.38	4.37	-0.04
849	0.168	CIB	4.27	-0.26	4.34	-0.02
607	0.1698	CIB	4.5	0.17	4.25	
806	0.171	CIB	4.03	-0.39	4.27	-0.1
659	0.171	CIB	4.11		4.26	-0.11
607	0.172	CIB	4.42	0.08	4.27	-0.14
849	0.172	CIB	4.25	-0.3	4.28	-0.18
607	0.1741	CIB	4.52	0.04	4.3	
806	0.176	CIB	4.11	-0.54	4.27	-0.29
659	0.176	CIB	4.2		4.35	-0.26
849	0.176	CIB	4.29	-0.36	4.31	-0.36
607	0.1763	CIB	4.61	-0.18	4.36	-0.22
849	0.18	CIB	4.34	-0.36	4.34	-0.24
607	0.1808	CIB	4.33	0.02	4.38	-0.21
806	0.181	CIB	4.14	-0.32	4.32	-0.23
659	0.183	CIB	4.5		4.24	-0.23
849	0.184	CIB	4.27	-0.25	4.26	-0.32
806	0.186	CIB	3.94	-0.38	4.24	-0.01
659	0.186	CIB	4.44		4.15	-0.03
607	0.1873	CIB	4.06	0.61	4.02	0.04
849	0.188	CIB	4.04	-0.09	3.92	0.12
659	0.189	CIB	3.62		3.82	
806	0.19	CIB	3.43	-0.15	3.78	-0.09
659	0.191	CIB	3.95		3.71	0.23
849	0.192	CIB	3.84	-0.03	3.56	
607	0.1938	CIB	3.73	0.86	3.56	0.27
659	0.194	CIB	2.87		3.47	0.42
806	0.195	CIB	3.43	-0.01	3.44	0.41
607	0.1955	CIB	3.48	0.85	3.44	0.41
849	0.196	CIB	3.71	-0.05	3.54	0.33
607	0.1969	CIB	3.69	0.84	3.61	0.55
806	0.199	CIB	3.39	0.02	3.6	0.47
607	0.1996	CIB	3.8	1.09	3.6	0.48
659	0.2	CIB	3.4		3.5	0.27
849	0.2	CIB	3.7	-0.05	3.55	0.5
806	0.202	CIB	3.2	0.03	3.54	0.23
607	0.2024	CIB	3.63	0.92	3.54	
849	0.204	CIB	3.78	0.02	3.51	0.48
659	0.205	CIB	3.38		3.58	0.69
607	0.2051	CIB	3.55	0.97	3.6	0.47
607	0.2079	CIB	3.56	0.86	3.57	0.66
849	0.208	CIB	3.74	0.02	3.63	0.52
607	0.2115	CIB	3.61	0.8	3.6	0.41
849	0.212	CIB	3.67	-0.04	3.64	0.17
659	0.214	CIB	3.41		3.6	0.26
849	0.216	CIB	3.79	-0.12	3.59	0.08
607	0.2161	CIB	3.53	0.38	3.57	0.17
659	0.217	CIB	3.56		3.6	
607	0.219	CIB	3.56	0.26	3.64	0.04
659	0.22	CIB	3.58		3.73	-0.16
806	0.22	CIB	3.96	-0.51	3.85	
849	0.22	CIB	3.98	-0.22	4.08	-0.1
659	0.222	CIB	4.2		4.18	-0.15
607	0.2223	CIB	4.67	0.44	4.21	-0.11
849	0.224	CIB	4.08	-0.31	4.36	-0.08
806	0.224	CIB	4.15	-0.35	4.39	0.08
659	0.225	CIB	4.72		4.28	-0.07
607	0.2256	CIB	4.33	0.53	4.3	-0.08
806	0.228	CIB	4.14	-0.14	4.27	0.16
