AGE_CK95_Ma	AGE_GTS04_Ma	DSDP_ODP_SITE	LATITUDE	LONGITUDE	REFERENCE	SAMPLE	MBSF	MCD	GENUS	SPECIES	RAW_d13C	RAW_d18O	d13C_CORRECTION	d18O_CORRECTION	CORRECTED_d13C	CORRECTED_d18O
null	0.87000	1143	9.362	113.285	Cheng et al. (2004a)	"5H-6, 50-52"	41.900	46.140	Globigerinoides	G. ruber	0.230	-4.060	0.940	0.000	1.170	-4.060
null	3.75400	1143	9.362	113.285	Cheng et al. (2004a)	"16H-6, 10-12"	147.000	156.580	Globigerinoides	G. ruber	0.810	-3.600	0.940	0.000	1.750	-3.600
null	3.56900	1143	9.362	113.285	Cheng et al. (2004a)	"16H-2, 50-52"	141.400	150.980	Globigerinoides	G. ruber	1.000	-3.590	0.940	0.000	1.940	-3.590
null	3.81900	1143	9.362	113.285	Cheng et al. (2004a)	"17H-3, 10-12"	151.000	159.820	Globigerinoides	G. ruber	1.590	-3.510	0.940	0.000	2.530	-3.510
null	3.57600	1143	9.362	113.285	Cheng et al. (2004a)	"16H-2, 70-72"	141.600	151.180	Globigerinoides	G. ruber	1.320	-3.490	0.940	0.000	2.260	-3.490
null	2.20500	1143	9.362	113.285	Cheng et al. (2004a)	"11H-4, 140-142"	96.800	103.900	Globigerinoides	G. ruber	1.540	-3.450	0.940	0.000	2.480	-3.450
null	3.70400	1143	9.362	113.285	Cheng et al. (2004a)	"16H-5, 10-12"	145.500	155.080	Globigerinoides	G. ruber	0.980	-3.440	0.940	0.000	1.920	-3.440
null	3.61000	1143	9.362	113.285	Cheng et al. (2004a)	"16H-3, 40-42"	142.800	152.380	Globigerinoides	G. ruber	0.340	-3.430	0.940	0.000	1.280	-3.430
null	4.51200	1143	9.362	113.285	Cheng et al. (2004a)	"18H-6, 100-102"	165.500	173.790	Globigerinoides	G. ruber	0.890	-3.420	0.940	0.000	1.830	-3.420
null	2.82900	1143	9.362	113.285	Cheng et al. (2004a)	"14H-1, 130-132"	121.700	130.360	Globigerinoides	G. ruber	1.040	-3.390	0.940	0.000	1.980	-3.390
null	4.47000	1143	9.362	113.285	Cheng et al. (2004a)	"18H-6, 20-22"	164.700	172.990	Globigerinoides	G. ruber	0.900	-3.370	0.940	0.000	1.840	-3.370
null	3.61600	1143	9.362	113.285	Cheng et al. (2004a)	"16H-3, 60-62"	143.000	152.580	Globigerinoides	G. ruber	0.820	-3.330	0.940	0.000	1.760	-3.330
null	0.12400	1143	9.362	113.285	Cheng et al. (2004a)	"1H-4, 40-42"	4.900	8.100	Globigerinoides	G. ruber	0.160	-3.320	0.940	0.000	1.100	-3.320
null	3.36700	1143	9.362	113.285	Cheng et al. (2004a)	"15H-5, 80-82"	136.700	145.040	Globigerinoides	G. ruber	0.990	-3.320	0.940	0.000	1.930	-3.320
null	3.81600	1143	9.362	113.285	Cheng et al. (2004a)	"17H-2, 130-132"	150.700	159.520	Globigerinoides	G. ruber	1.170	-3.320	0.940	0.000	2.110	-3.320
4.22700	4.23500	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	160.390	172.610	Globigerinoides	G. sacculifer	1.537	-2.996	0.590	-0.320	2.127	-3.316
2.32000	2.31900	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	129.410	134.610	Globigerinoides	G. ruber	0.440	-3.300	0.940	0.000	1.380	-3.300
null	3.67300	1143	9.362	113.285	Cheng et al. (2004a)	"16H-4, 80-82"	144.700	154.280	Globigerinoides	G. ruber	0.770	-3.300	0.940	0.000	1.710	-3.300
null	2.62300	1143	9.362	113.285	Cheng et al. (2004a)	"13H-3, 80-82"	113.700	121.500	Globigerinoides	G. ruber	1.210	-3.300	0.940	0.000	2.150	-3.300
null	3.72600	1143	9.362	113.285	Cheng et al. (2004a)	"16H-5, 80-82"	146.200	155.780	Globigerinoides	G. ruber	1.610	-3.300	0.940	0.000	2.550	-3.300
4.65600	4.66500	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	165.060	177.280	Globigerinoides	G. sacculifer	1.345	-2.978	0.590	-0.320	1.935	-3.298
null	0.29400	1143	9.362	113.285	Cheng et al. (2004a)	"2H-5, 40-42"	15.800	19.200	Globigerinoides	G. ruber	0.610	-3.290	0.940	0.000	1.550	-3.290
null	2.21200	1143	9.362	113.285	Cheng et al. (2004a)	"11H-5, 70-72"	97.600	104.700	Globigerinoides	G. ruber	1.310	-3.280	0.940	0.000	2.250	-3.280
null	1.18100	1143	9.362	113.285	Cheng et al. (2004a)	"6H-7, 0-2"	53.400	58.860	Globigerinoides	G. ruber	0.840	-3.270	0.940	0.000	1.780	-3.270
null	3.65600	1143	9.362	113.285	Cheng et al. (2004a)	"16H-4, 40-42"	144.300	153.880	Globigerinoides	G. ruber	0.890	-3.270	0.940	0.000	1.830	-3.270
null	2.53400	1143	9.362	113.285	Cheng et al. (2004a)	"12H-6, 100-102"	109.900	117.840	Globigerinoides	G. ruber	1.630	-3.270	0.940	0.000	2.570	-3.270
null	0.12100	1143	9.362	113.285	Cheng et al. (2004a)	"1H-4, 20-22"	4.700	7.900	Globigerinoides	G. ruber	1.180	-3.260	0.940	0.000	2.120	-3.260
null	3.58300	1143	9.362	113.285	Cheng et al. (2004a)	"16H-2, 90-92"	141.800	151.380	Globigerinoides	G. ruber	1.180	-3.260	0.940	0.000	2.120	-3.260
null	2.98800	1143	9.362	113.285	Cheng et al. (2004a)	"14H-4, 20-22"	125.100	133.760	Globigerinoides	G. ruber	1.470	-3.260	0.940	0.000	2.410	-3.260
null	3.66900	1143	9.362	113.285	Cheng et al. (2004a)	"16H-4, 70-72"	144.600	154.180	Globigerinoides	G. ruber	1.500	-3.250	0.940	0.000	2.440	-3.250
null	0.39600	1143	9.362	113.285	Cheng et al. (2004a)	"3H-5, 54-56"	21.440	24.160	Globigerinoides	G. ruber	0.640	-3.240	0.940	0.000	1.580	-3.240
null	2.26300	1143	9.362	113.285	Cheng et al. (2004a)	"11H-5, 120-122"	98.900	106.680	Globigerinoides	G. ruber	1.080	-3.240	0.940	0.000	2.020	-3.240
null	2.53500	1143	9.362	113.285	Cheng et al. (2004a)	"12H-6, 110-112"	110.000	117.940	Globigerinoides	G. ruber	1.600	-3.240	0.940	0.000	2.540	-3.240
15.15900	15.16400	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	309.500	321.720	Globigerinoides	G. sacculifer	2.029	-2.915	0.590	-0.320	2.619	-3.235
null	3.21200	1143	9.362	113.285	Cheng et al. (2004a)	"15H-2, 110-112"	131.500	139.820	Globigerinoides	G. ruber	0.910	-3.220	0.940	0.000	1.850	-3.220
null	2.47500	1143	9.362	113.285	Cheng et al. (2004a)	"12H-4, 132-134"	106.220	113.680	Globigerinoides	G. ruber	1.140	-3.220	0.940	0.000	2.080	-3.220
null	2.99200	1143	9.362	113.285	Cheng et al. (2004a)	"14H-4, 30-32"	125.200	133.860	Globigerinoides	G. ruber	1.260	-3.220	0.940	0.000	2.200	-3.220
null	3.80300	1143	9.362	113.285	Cheng et al. (2004a)	"17H-1, 140-142"	149.300	158.120	Globigerinoides	G. ruber	1.300	-3.220	0.940	0.000	2.240	-3.220
null	2.61300	1143	9.362	113.285	Cheng et al. (2004a)	"13H-3, 50-52"	113.400	121.200	Globigerinoides	G. ruber	1.310	-3.220	0.940	0.000	2.250	-3.220
null	3.64200	1143	9.362	113.285	Cheng et al. (2004a)	"16H-3, 140-142"	143.800	153.380	Globigerinoides	G. ruber	0.660	-3.210	0.940	0.000	1.600	-3.210
null	0.71200	1143	9.362	113.285	Cheng et al. (2004a)	"4H-6, 100-102"	36.900	38.560	Globigerinoides	G. ruber	0.730	-3.210	0.940	0.000	1.670	-3.210
null	2.38600	1143	9.362	113.285	Cheng et al. (2004a)	"12H-2, 142-144"	103.320	110.780	Globigerinoides	G. ruber	1.050	-3.210	0.940	0.000	1.990	-3.210
null	3.54200	1143	9.362	113.285	Cheng et al. (2004a)	"16H-1, 130-132"	140.700	150.280	Globigerinoides	G. ruber	1.110	-3.210	0.940	0.000	2.050	-3.210
5.01300	4.90900	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	169.860	182.080	Globigerinoides	G. sacculifer	1.477	-2.890	0.590	-0.320	2.067	-3.210
null	2.70100	1143	9.362	113.285	Cheng et al. (2004a)	"13H-5, 120-122"	117.100	124.900	Globigerinoides	G. ruber	1.220	-3.210	0.940	0.000	2.160	-3.210
16.07400	16.03700	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	331.310	343.530	Globigerinoides	G. sacculifer	2.403	-2.881	0.590	-0.320	2.993	-3.201
2.63400	2.63300	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	140.730	146.980	Globigerinoides	G. ruber	0.570	-3.200	0.940	0.000	1.510	-3.200
null	2.26100	1143	9.362	113.285	Cheng et al. (2004a)	"11H-5, 90-92"	98.600	106.380	Globigerinoides	G. ruber	0.930	-3.200	0.940	0.000	1.870	-3.200
null	3.60200	1143	9.362	113.285	Cheng et al. (2004a)	"16H-3, 10-12"	142.500	152.080	Globigerinoides	G. ruber	1.330	-3.200	0.940	0.000	2.270	-3.200
null	2.38400	1143	9.362	113.285	Cheng et al. (2004a)	"12H-1, 140-142"	102.800	110.740	Globigerinoides	G. ruber	1.400	-3.200	0.940	0.000	2.340	-3.200
null	3.24800	1143	9.362	113.285	Cheng et al. (2004a)	"15H-3, 80-82"	132.700	141.020	Globigerinoides	G. ruber	1.470	-3.200	0.940	0.000	2.410	-3.200
null	1.87200	1143	9.362	113.285	Cheng et al. (2004a)	"9H-6, 140-142"	81.800	89.180	Globigerinoides	G. ruber	1.620	-3.200	0.940	0.000	2.560	-3.200
null	0.12200	1143	9.362	113.285	Cheng et al. (2004a)	"1H-4, 30-32"	4.800	8.000	Globigerinoides	G. ruber	0.570	-3.190	0.940	0.000	1.510	-3.190
null	3.49600	1143	9.362	113.285	Cheng et al. (2004a)	"16H-5, 50-52"	142.400	148.960	Globigerinoides	G. ruber	0.900	-3.190	0.940	0.000	1.840	-3.190
null	2.43400	1143	9.362	113.285	Cheng et al. (2004a)	"12H-3, 92-94"	104.320	111.780	Globigerinoides	G. ruber	0.990	-3.190	0.940	0.000	1.930	-3.190
null	1.15700	1143	9.362	113.285	Cheng et al. (2004a)	"6H-6, 60-62"	52.500	57.960	Globigerinoides	G. ruber	1.440	-3.190	0.940	0.000	2.380	-3.190
null	2.81900	1143	9.362	113.285	Cheng et al. (2004a)	"14H-1, 70-72"	121.100	129.760	Globigerinoides	G. ruber	1.000	-3.180	0.940	0.000	1.940	-3.180
null	3.26500	1143	9.362	113.285	Cheng et al. (2004a)	"15H-4, 10-12"	133.500	141.820	Globigerinoides	G. ruber	1.060	-3.180	0.940	0.000	2.000	-3.180
16.20100	16.17100	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	336.410	348.630	Globigerinoides	G. sacculifer	2.990	-2.852	0.590	-0.320	3.580	-3.172
null	3.71700	1143	9.362	113.285	Cheng et al. (2004a)	"16H-5, 50-52"	145.900	155.480	Globigerinoides	G. ruber	0.880	-3.170	0.940	0.000	1.820	-3.170
null	0.83800	1146	19.457	116.273	Clemens and Prell (2003)	null	113.440	119.840	Globigerinoides	G. ruber	0.820	-3.320	0.940	0.000	1.320	-3.160
null	3.50300	1143	9.362	113.285	Cheng et al. (2004a)	"16H-1, 30-32"	139.700	149.280	Globigerinoides	G. ruber	0.960	-3.160	0.940	0.000	1.900	-3.160
null	2.85100	1143	9.362	113.285	Cheng et al. (2004a)	"14H-2, 50-52"	122.400	131.060	Globigerinoides	G. ruber	1.270	-3.160	0.940	0.000	2.210	-3.160
null	2.58700	1143	9.362	113.285	Cheng et al. (2004a)	"13H-2, 70-72"	112.100	119.900	Globigerinoides	G. ruber	1.500	-3.160	0.940	0.000	2.440	-3.160
4.91900	4.89600	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	168.210	180.430	Globigerinoides	G. sacculifer	2.279	-2.840	0.590	-0.320	2.869	-3.160
4.17300	4.18000	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	159.810	172.030	Globigerinoides	G. sacculifer	0.867	-2.837	0.590	-0.320	1.457	-3.157
null	3.42300	1143	9.362	113.285	Cheng et al. (2004a)	"16H-4, 30-32"	140.700	147.260	Globigerinoides	G. ruber	0.780	-3.150	0.940	0.000	1.720	-3.150
null	4.18200	1143	9.362	113.285	Cheng et al. (2004a)	"18H-5, 40-42"	161.210	168.730	Globigerinoides	G. ruber	1.080	-3.150	0.940	0.000	2.020	-3.150
null	2.84600	1143	9.362	113.285	Cheng et al. (2004a)	"14H-2, 30-32"	122.200	130.860	Globigerinoides	G. ruber	1.210	-3.150	0.940	0.000	2.150	-3.150
null	3.79700	1143	9.362	113.285	Cheng et al. (2004a)	"17H-1, 80-82"	148.700	157.520	Globigerinoides	G. ruber	1.360	-3.150	0.940	0.000	2.300	-3.150
3.45300	3.45300	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	152.010	164.230	Globigerinoides	G. sacculifer	1.316	-2.829	0.590	-0.320	1.906	-3.149
16.08600	16.05000	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	331.610	343.830	Globigerinoides	G. sacculifer	2.795	-2.826	0.590	-0.320	3.385	-3.146
3.84400	3.84700	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	156.510	168.730	Globigerinoides	G. sacculifer	1.509	-2.825	0.590	-0.320	2.099	-3.145
null	2.32000	1143	9.362	113.285	Cheng et al. (2004a)	"11H-6, 130-132"	100.500	108.280	Globigerinoides	G. ruber	0.700	-3.140	0.940	0.000	1.640	-3.140
null	2.29500	1143	9.362	113.285	Cheng et al. (2004a)	"11H-6, 40-42"	99.600	107.380	Globigerinoides	G. ruber	1.280	-3.140	0.940	0.000	2.220	-3.140
null	3.59100	1143	9.362	113.285	Cheng et al. (2004a)	"16H-2, 120-122"	142.100	151.680	Globigerinoides	G. ruber	1.350	-3.140	0.940	0.000	2.290	-3.140
5.28600	5.08400	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	174.660	186.880	Globigerinoides	G. sacculifer	1.232	-2.812	0.590	-0.320	1.822	-3.132
null	1.43400	1143	9.362	113.285	Cheng et al. (2004a)	"8H-2, 0-2"	63.900	69.720	Globigerinoides	G. ruber	0.700	-3.130	0.940	0.000	1.640	-3.130
null	2.77100	1143	9.362	113.285	Cheng et al. (2004a)	"13H-6, 30-32"	118.700	126.860	Globigerinoides	G. ruber	0.970	-3.130	0.940	0.000	1.910	-3.130
null	0.10600	1143	9.362	113.285	Cheng et al. (2004a)	"1H-3, 80-82"	3.800	7.000	Globigerinoides	G. ruber	1.040	-3.130	0.940	0.000	1.980	-3.130
null	3.03900	1143	9.362	113.285	Cheng et al. (2004a)	"14H-4, 120-122"	126.100	134.760	Globigerinoides	G. ruber	1.250	-3.130	0.940	0.000	2.190	-3.130
16.41400	16.28700	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	343.320	355.540	Globigerinoides	G. sacculifer	2.402	-2.805	0.590	-0.320	2.992	-3.125
null	3.04600	1143	9.362	113.285	Cheng et al. (2004a)	"14H-5, 0-2"	126.400	135.060	Globigerinoides	G. ruber	0.680	-3.120	0.940	0.000	1.620	-3.120
null	1.40600	1143	9.362	113.285	Cheng et al. (2004a)	"7H-6, 70-72"	62.100	68.360	Globigerinoides	G. ruber	0.830	-3.120	0.940	0.000	1.770	-3.120
null	3.53100	1143	9.362	113.285	Cheng et al. (2004a)	"16H-1, 110-112"	140.500	150.080	Globigerinoides	G. ruber	1.110	-3.120	0.940	0.000	2.050	-3.120
null	4.48700	1143	9.362	113.285	Cheng et al. (2004a)	"18H-6, 50-52"	165.000	173.290	Globigerinoides	G. ruber	1.460	-3.120	0.940	0.000	2.400	-3.120
null	2.53400	1143	9.362	113.285	Cheng et al. (2004a)	"12H-6, 90-92"	109.800	117.740	Globigerinoides	G. ruber	1.650	-3.120	0.940	0.000	2.590	-3.120
18.47800	18.24000	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	368.360	380.580	Globigerinoides	G. sacculifer	1.934	-2.793	0.590	-0.320	2.524	-3.113
null	0.84400	1143	9.362	113.285	Cheng et al. (2004a)	"5H-5, 40-42"	40.300	44.540	Globigerinoides	G. ruber	0.360	-3.110	0.940	0.000	1.300	-3.110
null	1.40200	1146	19.457	116.273	Clemens and Prell (2003)	null	151.440	160.140	Globigerinoides	G. ruber	1.320	-3.270	0.940	0.000	1.820	-3.110
null	1.39200	1143	9.362	113.285	Cheng et al. (2004a)	"7H-6, 30-32"	61.700	67.960	Globigerinoides	G. ruber	1.210	-3.110	0.940	0.000	2.150	-3.110
null	2.56000	1143	9.362	113.285	Cheng et al. (2004a)	"13H-1, 130-132"	111.200	119.000	Globigerinoides	G. ruber	1.610	-3.110	0.940	0.000	2.550	-3.110
null	0.28800	1143	9.362	113.285	Cheng et al. (2004a)	"2H-4, 140-142"	15.300	18.700	Globigerinoides	G. ruber	0.500	-3.100	0.940	0.000	1.440	-3.100
null	3.43400	1143	9.362	113.285	Cheng et al. (2004a)	"16H-4, 90-92"	141.300	147.860	Globigerinoides	G. ruber	0.720	-3.100	0.940	0.000	1.660	-3.100
null	3.57300	1143	9.362	113.285	Cheng et al. (2004a)	"16H-2, 60-62"	141.500	151.080	Globigerinoides	G. ruber	1.060	-3.100	0.940	0.000	2.000	-3.100
null	1.43700	1143	9.362	113.285	Cheng et al. (2004a)	"8H-2, 10-12"	64.000	69.820	Globigerinoides	G. ruber	1.220	-3.100	0.940	0.000	2.160	-3.100
null	3.32800	1143	9.362	113.285	Cheng et al. (2004a)	"15H-4, 80-82"	135.200	143.540	Globigerinoides	G. ruber	1.290	-3.100	0.940	0.000	2.230	-3.100
null	3.22800	1143	9.362	113.285	Cheng et al. (2004a)	"15H-3, 50-52"	132.400	140.720	Globigerinoides	G. ruber	1.530	-3.100	0.940	0.000	2.470	-3.100
null	3.09600	1143	9.362	113.285	Cheng et al. (2004a)	"14H-6, 50-52"	128.400	137.060	Globigerinoides	G. ruber	0.570	-3.090	0.940	0.000	1.510	-3.090
null	3.45700	1143	9.362	113.285	Cheng et al. (2004a)	"16H-4, 120-122"	141.600	148.160	Globigerinoides	G. ruber	0.650	-3.090	0.940	0.000	1.590	-3.090
null	3.52500	1143	9.362	113.285	Cheng et al. (2004a)	"16H-1, 100-102"	140.400	149.980	Globigerinoides	G. ruber	0.980	-3.090	0.940	0.000	1.920	-3.090
null	1.44900	1143	9.362	113.285	Cheng et al. (2004a)	"8H-2, 50-52"	64.400	70.220	Globigerinoides	G. ruber	1.060	-3.090	0.940	0.000	2.000	-3.090
null	1.40400	1143	9.362	113.285	Cheng et al. (2004a)	"7H-6, 60-62"	62.000	68.260	Globigerinoides	G. ruber	1.200	-3.090	0.940	0.000	2.140	-3.090
null	2.68100	1143	9.362	113.285	Cheng et al. (2004a)	"13H-5, 20-22"	116.100	123.900	Globigerinoides	G. ruber	1.290	-3.090	0.940	0.000	2.230	-3.090
null	3.65300	1143	9.362	113.285	Cheng et al. (2004a)	"16H-4, 30-32"	144.200	153.780	Globigerinoides	G. ruber	1.290	-3.090	0.940	0.000	2.230	-3.090
null	3.55800	1143	9.362	113.285	Cheng et al. (2004a)	"16H-2, 20-22"	141.100	150.680	Globigerinoides	G. ruber	1.340	-3.090	0.940	0.000	2.280	-3.090
null	2.58400	1143	9.362	113.285	Cheng et al. (2004a)	"13H-2, 60-62"	112.000	119.800	Globigerinoides	G. ruber	1.370	-3.090	0.940	0.000	2.310	-3.090
null	2.20300	1143	9.362	113.285	Cheng et al. (2004a)	"11H-4, 130-132"	96.700	103.800	Globigerinoides	G. ruber	1.420	-3.090	0.940	0.000	2.360	-3.090
null	2.18500	1143	9.362	113.285	Cheng et al. (2004a)	"11H-4, 30-32"	95.700	102.800	Globigerinoides	G. ruber	1.450	-3.090	0.940	0.000	2.390	-3.090
null	0.00600	1143	9.362	113.285	Cheng et al. (2004a)	"1H-1, 20-22"	0.200	0.200	Globigerinoides	G. ruber	1.510	-3.090	0.940	0.000	2.450	-3.090
null	1.94900	1143	9.362	113.285	Cheng et al. (2004a)	"10H-2, 110-112"	85.000	92.520	Globigerinoides	G. ruber	0.250	-3.080	0.940	0.000	1.190	-3.080
null	3.80900	1143	9.362	113.285	Cheng et al. (2004a)	"17H-2, 60-62"	150.000	158.820	Globigerinoides	G. ruber	1.210	-3.080	0.940	0.000	2.150	-3.080
null	2.60900	1143	9.362	113.285	Cheng et al. (2004a)	"13H-3, 30-32"	113.200	121.000	Globigerinoides	G. ruber	1.360	-3.080	0.940	0.000	2.300	-3.080
null	0.01000	1143	9.362	113.285	Cheng et al. (2004a)	"1H-1, 40-42"	0.400	0.400	Globigerinoides	G. ruber	1.380	-3.080	0.940	0.000	2.320	-3.080
null	2.44000	1143	9.362	113.285	Cheng et al. (2004a)	"12H-3, 0-2"	104.400	112.340	Globigerinoides	G. ruber	1.450	-3.080	0.940	0.000	2.390	-3.080
4.49000	4.50300	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	163.260	175.480	Globigerinoides	G. sacculifer	1.448	-2.752	0.590	-0.320	2.038	-3.072
null	0.41100	1143	9.362	113.285	Cheng et al. (2004a)	"3H-6, 30-32"	22.700	25.420	Globigerinoides	G. ruber	0.640	-3.070	0.940	0.000	1.580	-3.070
null	3.95400	1143	9.362	113.285	Cheng et al. (2004a)	"17H-6, 0-2"	155.400	164.220	Globigerinoides	G. ruber	1.020	-3.070	0.940	0.000	1.960	-3.070
null	2.32600	1143	9.362	113.285	Cheng et al. (2004a)	"11H-7, 0-2"	100.700	108.480	Globigerinoides	G. ruber	1.070	-3.070	0.940	0.000	2.010	-3.070
null	2.56400	1143	9.362	113.285	Cheng et al. (2004a)	"13H-2, 0-2"	111.400	119.200	Globigerinoides	G. ruber	1.210	-3.070	0.940	0.000	2.150	-3.070
null	0.95200	1143	9.362	113.285	Cheng et al. (2004a)	"5H-7, 60-62"	44.500	49.660	Globigerinoides	G. ruber	1.270	-3.070	0.940	0.000	2.210	-3.070
null	2.66800	1143	9.362	113.285	Cheng et al. (2004a)	"13H-4, 120-122"	115.600	123.400	Globigerinoides	G. ruber	1.580	-3.070	0.940	0.000	2.520	-3.070
null	2.46300	1143	9.362	113.285	Cheng et al. (2004a)	"12H-4, 92-94"	105.820	113.280	Globigerinoides	G. ruber	0.510	-3.060	0.940	0.000	1.450	-3.060
null	0.54900	1143	9.362	113.285	Cheng et al. (2004a)	"4H-2, 70-72"	30.600	32.260	Globigerinoides	G. ruber	0.810	-3.060	0.940	0.000	1.750	-3.060
null	3.53800	1143	9.362	113.285	Cheng et al. (2004a)	"16H-1, 120-122"	140.600	150.180	Globigerinoides	G. ruber	0.970	-3.060	0.940	0.000	1.910	-3.060
null	2.05400	1143	9.362	113.285	Cheng et al. (2004a)	"10H-5, 90-92"	89.300	96.820	Globigerinoides	G. ruber	0.990	-3.060	0.940	0.000	1.930	-3.060
null	2.75500	1143	9.362	113.285	Cheng et al. (2004a)	"13H-5, 140-142"	118.300	126.460	Globigerinoides	G. ruber	1.170	-3.060	0.940	0.000	2.110	-3.060
null	3.55400	1143	9.362	113.285	Cheng et al. (2004a)	"16H-2, 10-12"	141.000	150.580	Globigerinoides	G. ruber	1.190	-3.060	0.940	0.000	2.130	-3.060
null	3.58000	1143	9.362	113.285	Cheng et al. (2004a)	"16H-2, 80-82"	141.700	151.280	Globigerinoides	G. ruber	1.250	-3.060	0.940	0.000	2.190	-3.060
null	1.46300	1143	9.362	113.285	Cheng et al. (2004a)	"8H-3, 10-12"	65.500	71.320	Globigerinoides	G. ruber	1.260	-3.060	0.940	0.000	2.200	-3.060
4.55700	4.56900	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	163.990	176.210	Globigerinoides	G. sacculifer	0.824	-2.733	0.590	-0.320	1.414	-3.053
null	0.62500	1143	9.362	113.285	Cheng et al. (2004a)	"4H-4, 50-52"	33.400	35.060	Globigerinoides	G. ruber	0.360	-3.050	0.940	0.000	1.300	-3.050
null	0.22100	1143	9.362	113.285	Cheng et al. (2004a)	"2H-4, 110-112"	11.000	13.120	Globigerinoides	G. ruber	0.650	-3.050	0.940	0.000	1.590	-3.050
null	3.80400	1143	9.362	113.285	Cheng et al. (2004a)	"17H-2, 0-2"	149.400	158.220	Globigerinoides	G. ruber	1.060	-3.050	0.940	0.000	2.000	-3.050
null	3.60800	1143	9.362	113.285	Cheng et al. (2004a)	"16H-3, 30-32"	142.700	152.280	Globigerinoides	G. ruber	1.200	-3.050	0.940	0.000	2.140	-3.050
null	2.48300	1143	9.362	113.285	Cheng et al. (2004a)	"12H-4, 50-52"	106.400	114.340	Globigerinoides	G. ruber	1.260	-3.050	0.940	0.000	2.200	-3.050
null	2.39000	1143	9.362	113.285	Cheng et al. (2004a)	"12H-3, 2-4"	103.420	110.880	Globigerinoides	G. ruber	1.390	-3.050	0.940	0.000	2.330	-3.050
16.10600	16.07100	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	332.210	344.430	Globigerinoides	G. sacculifer	2.303	-2.728	0.590	-0.320	2.893	-3.048
5.05600	4.92700	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	170.610	182.830	Globigerinoides	G. sacculifer	1.487	-2.726	0.590	-0.320	2.077	-3.046
null	0.56000	1143	9.362	113.285	Cheng et al. (2004a)	"4H-2, 140-142"	31.300	32.960	Globigerinoides	G. ruber	0.380	-3.040	0.940	0.000	1.320	-3.040
null	3.40300	1143	9.362	113.285	Cheng et al. (2004a)	"16H-3, 130-132"	140.200	146.760	Globigerinoides	G. ruber	0.700	-3.040	0.940	0.000	1.640	-3.040
null	3.50700	1143	9.362	113.285	Cheng et al. (2004a)	"16H-1, 50-52"	139.900	149.480	Globigerinoides	G. ruber	0.900	-3.040	0.940	0.000	1.840	-3.040
null	2.41000	1143	9.362	113.285	Cheng et al. (2004a)	"12H-3, 22-24"	103.620	111.080	Globigerinoides	G. ruber	0.990	-3.040	0.940	0.000	1.930	-3.040
null	3.41000	1143	9.362	113.285	Cheng et al. (2004a)	"16H-3, 140-142"	140.300	146.860	Globigerinoides	G. ruber	1.080	-3.040	0.940	0.000	2.020	-3.040
null	2.49900	1143	9.362	113.285	Cheng et al. (2004a)	"12H-5, 10-12"	107.500	115.440	Globigerinoides	G. ruber	1.120	-3.040	0.940	0.000	2.060	-3.040
null	2.13600	1143	9.362	113.285	Cheng et al. (2004a)	"11H-2, 120-122"	93.600	100.700	Globigerinoides	G. ruber	1.340	-3.040	0.940	0.000	2.280	-3.040
2.26800	2.26700	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	120.510	132.060	Globigerinoides	G. ruber	0.000	-3.030	0.940	0.000	0.940	-3.030
null	0.93500	1143	9.362	113.285	Cheng et al. (2004a)	"5H-7, 20-22"	44.100	49.260	Globigerinoides	G. ruber	0.650	-3.030	0.940	0.000	1.590	-3.030
null	2.05300	1143	9.362	113.285	Cheng et al. (2004a)	"10H-5, 80-82"	89.200	96.720	Globigerinoides	G. ruber	0.690	-3.030	0.940	0.000	1.630	-3.030
null	1.40800	1143	9.362	113.285	Cheng et al. (2004a)	"8H-1, 20-22"	62.600	68.420	Globigerinoides	G. ruber	0.780	-3.030	0.940	0.000	1.720	-3.030
