0.029,1.11
1.002,1.53
1.011,1.16
1.022,1.06
1.022,1.27
1.022,0.95
1.033,0.93
1.056,1.09
1.067,1.48
1.078,1.29
1.101,0.95
1.124,1.37
1.135,1.10
1.146,1.41
1.158,1.45
1.169,1.61
1.180,1.10
1.191,1.09
1.199,1.17
1.214,1.28
1.233,1.69
1.237,1.69
1.246,1.09
1.270,1.30
1.282,1.68
1.304,1.40
1.314,1.39
1.314,1.20
1.314,1.40
1.314,1.23
1.327,1.65
1.338,1.45
1.338,1.51
1.338,1.52
4.033,1.35
4.419,1.40
4.673,1.50
4.882,1.58
5.154,1.65
5.916,1.60
6.847,1.54
7.145,0.94
7.745,2.04
7.745,2.44
7.779,2.18
7.779,2.64
7.813,2.43
7.813,1.24
7.813,2.16
7.846,2.20
7.880,2.23
8.236,2.48
8.270,2.68
8.270,2.30
8.270,2.11
8.270,2.02
8.304,2.42
9.814,2.25
9.814,1.91
10.285,2.66
10.285,2.26
10.285,2.08
10.313,1.65
10.313,2.30
10.382,1.71
10.588,1.63
10.588,2.04
11.141,2.11
11.141,1.78
11.141,1.59
11.199,1.92
11.257,2.17
11.286,1.76
11.288,2.08
11.315,1.90
11.832,1.94
12.079,2.04
12.336,2.18
12.645,1.90
12.645,2.48
12.734,2.48
12.734,1.81
12.801,1.84
12.801,2.47
12.811,2.54
12.811,1.83
12.820,2.59
12.820,1.84
12.830,2.55
12.830,1.90
12.900,2.19
12.900,1.65
12.985,1.92
13.521,1.76
13.521,2.24
14.579,2.49
14.579,2.26
14.579,2.29
14.579,1.70
15.399,2.04
15.399,2.03
15.628,3.55
15.635,3.02
15.650,3.44
15.680,3.52
15.695,2.65
15.695,3.43
15.717,2.98
15.732,3.08
15.746,3.32
15.761,3.08
15.761,2.48
16.671,3.06
16.731,3.00
16.871,3.64
16.886,3.38
17.165,3.14
17.827,1.51
17.827,1.64
17.827,2.01
22.817,1.54
22.931,1.33
23.211,2.05
23.546,1.97
23.546,1.52
23.609,1.48
23.609,1.26
23.609,1.58
23.609,1.39
23.609,1.32
24.348,1.78
24.348,1.83
24.348,1.41
24.348,1.54
24.348,1.72
24.348,1.83
24.348,1.83
25.274,1.09
26.571,1.66
26.571,1.46
26.678,1.46
26.678,1.64
26.678,1.38
26.678,1.47
27.678,1.77
28.982,1.64
29.002,1.27
29.143,1.07
29.143,1.33
31.611,1.51
31.611,1.71
32.911,1.86
32.911,1.86
34.735,1.96
34.735,1.91
34.873,1.86
34.873,1.80
34.873,2.12
34.873,1.80
34.901,1.60
35.043,1.90
35.043,1.63
35.048,1.76
35.486,2.92
35.486,1.79
35.753,1.94
35.753,2.80
35.753,2.72
36.037,1.92
36.790,2.08
36.823,2.25
36.823,2.10
37.017,1.68
37.059,1.87
37.059,2.07
37.059,2.75
37.059,2.09
37.059,1.84
37.285,2.58
37.362,2.22
37.362,2.73
37.362,1.95
37.362,2.17
37.647,1.90
37.647,2.47
37.647,1.70
