  2.2550227421204838e-001	  2.2550498852409384e-001	  2.2550211006896170e-001	  8.7433116714412673e-002	  6.7970786194406635e-002	  6.2626890015847689e-002	  2.6204442515017878e-001	  1.8417461196632018e-001	  1.4477727837191418e-001	  3.3240271538169630e-001	
  2.2574398885654043e-001	  2.2584105830164453e-001	  2.2573827985779482e-001	  8.7433202830394421e-002	  6.7970927641331239e-002	  6.2626946215807125e-002	  2.6204433390009513e-001	  1.8417459846215750e-001	  1.4477725446416412e-001	  3.3162045394690653e-001	
  2.2589421560407819e-001	  2.2604982492030701e-001	  2.2588519189918699e-001	  8.7433355878921662e-002	  6.7971178921743799e-002	  6.2627046122725821e-002	  2.6204415469789644e-001	  1.8417457193080844e-001	  1.4477720751078435e-001	  3.3098848478124759e-001	
  2.2598565374142993e-001	  2.2617682750996421e-001	  2.2597469857488439e-001	  8.7433551897953807e-002	  6.7971500612404104e-002	  6.2627174108151579e-002	  2.6204390260147847e-001	  1.8417453458977759e-001	  1.4477714145505469e-001	  3.3048110144499487e-001	
  2.2607706196686500e-001	  2.2630368840128609e-001	  2.2606430544217251e-001	  8.7434120873658663e-002	  6.7972433448180297e-002	  6.2627545700090242e-002	  2.6204304028751751e-001	  1.8417440669115392e-001	  1.4477691547651281e-001	  3.2968448385216592e-001	
  2.2610972373911289e-001	  2.2634897250592831e-001	  2.2609638279782321e-001	  8.7434732244330668e-002	  6.7973434805891603e-002	  6.2627945011027489e-002	  2.6204199998763478e-001	  1.8417425217040889e-001	  1.4477664281546590e-001	  3.2919250159704472e-001	
  2.2612051148036130e-001	  2.2636391164066283e-001	  2.2610700074367265e-001	  8.7435358967073343e-002	  6.7974460317268767e-002	  6.2628354331795796e-002	  2.6204084757817825e-001	  1.8417408073034022e-001	  1.4477634072348136e-001	  3.2889268915243491e-001	
  2.2612487317291954e-001	  2.2636994495068175e-001	  2.2611130373821087e-001	  8.7436586632506821e-002	  6.7976465757662252e-002	  6.2629155951605356e-002	  2.6203842689036494e-001	  1.8417371947384487e-001	  1.4477570596430869e-001	  3.2862204534000855e-001	
  2.2612541686105339e-001	  2.2637069787435127e-001	  2.2611184009708210e-001	  8.7437814465932781e-002	  6.7978467909771287e-002	  6.2629957444545983e-002	  2.6203591644112567e-001	  1.8417334350120657e-001	  1.4477504743390576e-001	  3.2850748995101120e-001	
  2.2612540655932101e-001	  2.2637068697610502e-001	  2.2611182681435602e-001	  8.7439040030610565e-002	  6.7980462812126108e-002	  6.2630757208574722e-002	  2.6203336783624837e-001	  1.8417296040381256e-001	  1.4477437864467282e-001	  3.2846094016979072e-001	
  2.2612539236446907e-001	  2.2637068104454414e-001	  2.2611179864157493e-001	  8.7443013891567792e-002	  6.7986898448564606e-002	  6.2633348164963201e-002	  2.6202499469133322e-001	  1.8417168771311340e-001	  1.4477217891165661e-001	  3.2843206213490556e-001	
  2.2612541397751171e-001	  2.2637072449008294e-001	  2.2611180558637858e-001	  8.7446959488161946e-002	  6.7993252946012064e-002	  6.2635918326118631e-002	  2.6201662352399691e-001	  1.8417039967978105e-001	  1.4476997690291032e-001	  3.2842969156062463e-001	
  2.2612543995334114e-001	  2.2637077356494500e-001	  2.2611181697196817e-001	  8.7450876409721726e-002	  6.7999526194698387e-002	  6.2638467537009690e-002	  2.6200826842616554e-001	  1.8416909822045993e-001	  1.4476777626766246e-001	  3.2843013884407130e-001	
  2.2612568220400733e-001	  2.2637121336896465e-001	  2.2611192210536232e-001	  8.7487588773038194e-002	  6.8055964057938650e-002	  6.2662251606466615e-002	  2.6192621875963129e-001	  1.8415499390874862e-001	  1.4474591842171283e-001	  3.2843053623209462e-001	
  2.2612590618690531e-001	  2.2637160278300952e-001	  2.2611201900560077e-001	  8.7521546829182270e-002	  6.8105953592387650e-002	  6.2684196092816252e-002	  2.6184584385432985e-001	  1.8413969967799126e-001	  1.4472422053122797e-001	  3.2843060643203725e-001	
  2.2612611213560233e-001	  2.2637194669262756e-001	  2.2611210812761906e-001	  8.7552768894551908e-002	  6.8150101396048268e-002	  6.2704378561144802e-002	  2.6176714032017817e-001	  1.8412324894678672e-001	  1.4470267642808651e-001	  3.2843064632838859e-001	
  2.2612717170491267e-001	  2.2637359151858488e-001	  2.2611257677738583e-001	  8.7713375833108759e-002	  6.8361240961973865e-002	  6.2810499406991460e-002	  2.6124913109099790e-001	  1.8398043847975726e-001	  1.4455265587799154e-001	  3.2843006020012000e-001	
  2.2612762712499598e-001	  2.2637418052624500e-001	  2.2611279900312356e-001	  8.7782367363099550e-002	  6.8436830514598757e-002	  6.2860802490748949e-002	  2.6080222367637146e-001	  1.8379858930394072e-001	  1.4440757523882697e-001	  3.2842818681866132e-001	
  2.2612770144584943e-001	  2.2637426690465959e-001	  2.2611285891736188e-001	  8.7793581833033110e-002	  6.8447882865556239e-002	  6.2874340245024363e-002	  2.6041762449966299e-001	  1.8359050945172456e-001	  1.4426578664111381e-001	  3.2842555282816510e-001	
  2.2612757525919361e-001	  2.2637413891593108e-001	  2.2611281813905448e-001	  8.7774404639342246e-002	  6.8431405514925464e-002	  6.2865070051111679e-002	  2.6008677575466388e-001	  1.8336729439673716e-001	  1.4412610721242217e-001	  3.2842258478353914e-001	
  2.2612702805852253e-001	  2.2637349531805895e-001	  2.2611248392437858e-001	  8.7691356521136882e-002	  6.8348645993475454e-002	  6.2789284572287010e-002	  2.5950096363719594e-001	  1.8281592360381738e-001	  1.4378773848243809e-001	  3.2841545798364014e-001	
