-0.093964	-0.093964	-0.093964	-0.093964	-0.093964	-0.093964	-0.093964	-0.09396	-0.093907	-0.093905	-0.093905	-0.093905	-0.093904
-6.8931	-6.8931	-6.9004	-6.9004	-6.9004	-6.9004	-6.9004	-6.8961	-6.8184	-6.8148	-6.8142	-6.814	-6.8138
-9.3752	-9.3752	-9.3931	-9.3931	-9.3931	-9.3931	-9.3931	-9.3888	-9.2852	-9.2796	-9.2787	-9.2784	-9.2782
-10.916	-10.916	-10.944	-10.944	-10.944	-10.944	-10.944	-10.94	-10.82	-10.814	-10.814	-10.814	-10.814
-11.106	-11.106	-11.14	-11.14	-11.14	-11.14	-11.14	-11.138	-11.025	-11.014	-11.013	-11.012	-11.012
-10.633	-10.633	-10.672	-10.672	-10.672	-10.672	-10.672	-10.671	-10.564	-10.552	-10.551	-10.55	-10.55
-10.605	-10.605	-10.648	-10.648	-10.648	-10.648	-10.648	-10.648	-10.564	-10.531	-10.53	-10.529	-10.529
-10.878	-10.878	-10.925	-10.925	-10.925	-10.925	-10.925	-10.925	-10.858	-10.807	-10.805	-10.805	-10.805
-10.017	-10.017	-10.064	-10.064	-10.064	-10.064	-10.064	-10.064	-10.021	-9.9571	-9.9551	-9.9546	-9.9544
-9.9867	-9.9867	-10.036	-10.036	-10.036	-10.036	-10.036	-10.036	-10.003	-9.931	-9.9288	-9.9284	-9.9281
-10.38	-10.38	-10.435	-10.435	-10.435	-10.435	-10.435	-10.435	-10.41	-10.325	-10.323	-10.322	-10.322
-10.33	-10.33	-10.387	-10.387	-10.387	-10.387	-10.387	-10.387	-10.36	-10.131	-10.279	-10.277	-10.276
-10.154	-10.154	-10.212	-10.212	-10.212	-10.212	-10.212	-10.212	-10.185	-10.087	-10.097	-10.101	-10.103
-10.367	-10.367	-10.428	-10.428	-10.428	-10.428	-10.428	-10.428	-10.404	-10.321	-10.319	-10.318	-10.318
-11.174	-11.174	-11.241	-11.241	-11.241	-11.241	-11.241	-11.241	-11.215	-11.127	-11.124	-11.124	-11.123
-11.222	-11.222	-11.291	-11.291	-11.291	-11.291	-11.291	-11.291	-11.262	-11.178	-11.175	-11.174	-11.174
-9.8721	-9.8721	-9.9335	-9.9335	-9.9335	-9.9335	-9.9335	-9.9335	-9.9112	-9.8354	-9.8331	-9.8325	-9.8323
-8.5196	-8.5196	-8.5732	-8.5732	-8.5732	-8.5732	-8.5732	-8.5732	-8.5566	-8.4896	-8.4876	-8.4872	-8.487
-8.1107	-8.1107	-8.1631	-8.1631	-8.1631	-8.1631	-8.1631	-8.1631	-8.1488	-8.0834	-8.0813	-8.0809	-8.0807
-8.1643	-8.1643	-8.2178	-8.2178	-8.2178	-8.2178	-8.2178	-8.2178	-8.2023	-8.1383	-8.136	-8.1356	-8.1354
