0.5,4556.540037,94.35851902,4550.597466,92.54170594,4551.553023,92.76623995,4550.370517,92.00092544,4558.891299,94.06010307
0.75,4531.754594,112.8795145,4522.318775,110.3160651,4523.768013,110.6116329,4521.670682,108.2575671,4534.365567,109.8047233
1,4544.763972,114.236673,4532.750855,111.268808,4534.186995,111.4142877,4530.98407,108.4971086,4546.659401,109.842151
1.25,4538.264693,93.71955937,4522.187441,90.55212947,4524.285583,90.97461486,4520.252443,88.44622371,4540.875489,89.86657208
1.5,4513.319518,77.93182185,4494.428595,75.63608515,4497.063171,76.24544176,4492.965465,74.32823763,4516.852318,75.89169997
1.75,4475.488366,73.81503684,4455.220355,71.52266071,4458.914831,72.63324368,4455.91468,70.87432416,4482.634869,72.97491895
2,4455.429093,67.53933851,4433.944945,65.23893527,4438.220868,66.54070493,4435.103665,65.12639139,4464.177269,67.198871
2.25,4484.404129,91.42551968,4457.26528,86.0880001,4463.668431,87.81266308,4457.302784,84.96449176,4494.050754,89.09261625
2.5,4524.37956,127.189803,4492.591511,118.0421855,4501.437694,120.1171499,4491.191117,116.7489466,4535.276207,121.6032677
2.75,4527.779293,146.1644646,4492.850763,131.3033398,4501.447587,132.5428008,4486.968157,127.8380012,4535.487485,134.2265009
3,4530.806438,148.4652565,4492.230107,133.1079276,4502.778778,134.2006401,4489.049986,130.2773764,4539.859449,135.575589
3.25,4471.147236,101.8500819,4435.145742,92.63505578,4447.969348,94.47592266,4436.425155,93.24904007,4489.188024,96.56008477
3.5,4415.045056,71.2310231,4380.721722,64.58263408,4394.312513,65.98438734,4383.16421,65.56504721,4437.571049,67.46358055
3.75,4394.898826,65.65963249,4358.862561,59.07119317,4373.849397,60.44472124,4363.349545,60.19461421,4419.68405,61.99820704
4,4370.13943,63.35340007,4333.140816,55.48831239,4349.364378,56.90692918,4338.662825,56.51260994,4397.171667,58.78499237
4.25,4375.931427,66.03547503,4330.679311,56.16840259,4348.74699,57.52891883,4335.866315,56.92679625,4399.127212,59.52119609
